cohort_name,modality,device,task,feature_set,model,seed,threshold_type,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate,auroc_fold_mean,auroc_fold_std,auprc_fold_mean,auprc_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,macro_f1_fold_mean,macro_f1_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,accuracy_fold_mean,accuracy_fold_std,brier_score_fold_mean,brier_score_fold_std,ece_fold_mean,ece_fold_std,positive_prediction_rate_fold_mean,positive_prediction_rate_fold_std,robustness_split_file,robustness_fold_column
eeg_oddball_native_group_robustness,eeg,,oddball,signal_demographics,hist_gradient_boosting,20260707,inner_cv,0.5,1827,611,1216,0.5892303385304505,0.3949537978809756,0.5717371758980101,0.5527440371212222,0.5891980360065466,0.5542763157894737,0.5659551176792557,0.2441276400740888,0.15923947508783898,0.49370552818828684,0.5909453989124342,0.03145138771424747,0.40315698728601124,0.07434858205106594,0.5747477042347825,0.019448659276370038,0.5497002948824272,0.015510762686763277,0.592833975121491,0.0650090175846271,0.5566614333480739,0.037271579015589584,0.5650924096632848,0.010071022616812947,0.24427505622091447,0.002298004507998273,0.15422235267947504,0.08249717057764624,0.4920216583660014,0.039774654807913645,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
eeg_oddball_native_group_robustness,eeg,,oddball,signal_demographics,logistic_regression,20260707,inner_cv,0.5,1827,611,1216,0.5599696356275303,0.3970371884593148,0.5410800618054957,0.5298323698825504,0.5155482815057283,0.5666118421052632,0.5495347564313081,0.25369828112173454,0.1635675440150287,0.4608648056923919,0.5607584997146804,0.030525005372885865,0.40684505843053814,0.07218132919651618,0.5387204506436273,0.024005586092678714,0.5268084376918634,0.02900909857794131,0.511785606069889,0.03939304507860408,0.5656552952173657,0.03544704766262637,0.5508524827073985,0.026014043694801193,0.25376095451824326,0.009305465110877495,0.16572079551059932,0.06284807492922274,0.4613952798188623,0.03283852764763649,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
eeg_oddball_native_group_robustness,eeg,,oddball,signal_demographics,random_forest,20260707,inner_cv,0.35,1827,611,1216,0.5101497221982944,0.3338735485564924,0.5103933370660695,0.41188135017822936,0.7872340425531915,0.23355263157894737,0.4187192118226601,0.23532304454132277,0.09532070764198258,0.7733990147783252,0.5440214639020573,0.042519250212504384,0.3619947830027263,0.08527083854991518,0.5312882527099575,0.011993659291111264,0.4154946025492851,0.10740333344285316,0.8109842432822554,0.14404400879593884,0.25159226213765973,0.13881871791422828,0.4264966155565674,0.10026543543738033,0.2365844285280751,0.011044362373575523,0.11235004527436117,0.08438745611185401,0.7700162245167433,0.13518052307518208,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
face_task_native_group_robustness,face,,task,face_demographics,hist_gradient_boosting,20260707,inner_cv,0.5,3567,1082,2485,0.5952375993484009,0.3635873564510019,0.5740048423628648,0.5434066901695535,0.609981515711645,0.5380281690140845,0.5598542192318475,0.24337162444838228,0.19104698321093855,0.5068685169610316,0.6023903195042782,0.03396266882323751,0.37427369110605346,0.08070866494420757,0.5747478882515131,0.028501664240000245,0.5378430836959096,0.03412804667475837,0.6133762091876883,0.06063145331723699,0.536119567315338,0.0732716833498727,0.5595339820386627,0.03569560188670215,0.24341967489567215,0.004646658807778167,0.19059215148518827,0.0830668013196555,0.5069377302506338,0.06475249707384739,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
face_task_native_group_robustness,face,,task,face_demographics,logistic_regression,20260707,inner_cv,0.45,3567,1082,2485,0.6196539681713199,0.3961049154531704,0.5796535218705952,0.5266712595005472,0.7005545286506469,0.45875251509054327,0.5320998037566582,0.24184435184615138,0.18533105385955867,0.5895710681244744,0.6108262991534745,0.02438526669213412,0.38624810212215416,0.08799527345156548,0.5744373483690677,0.027383725321217023,0.5168375248424263,0.046287845028417096,0.6955459002783628,0.05728421078619727,0.45332879645977264,0.10998087819725946,0.5319944616591732,0.04683361022624196,0.2418857066733106,0.012678489867091169,0.18497359203611635,0.06723723459536173,0.5899982936316761,0.0970536034490128,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
face_two_video_native_group_robustness,face,,two_video,face_demographics,hist_gradient_boosting,20260707,inner_cv,0.5,3567,1082,2485,0.6055774573503869,0.3716615216795738,0.5958720902122532,0.561917808219178,0.6432532347504621,0.5484909456740442,0.5772357723577236,0.24303004566284256,0.19182109819539572,0.5096719932716569,0.6040585255410722,0.031025342800294294,0.37456273128024803,0.0859237477803643,0.5924756185338809,0.026330359074280586,0.5528470126920315,0.031130175479232764,0.6414315432546854,0.08656989394374354,0.5435196938130764,0.09677638823058933,0.5767766165692584,0.03663287292903509,0.24307398918419665,0.003637228395204089,0.19138677918483832,0.08116409463891637,0.5101903537196508,0.0961321413658839,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
face_two_video_native_group_robustness,face,,two_video,face_demographics,logistic_regression,20260707,inner_cv,0.5,3567,1082,2485,0.624672247905176,0.40185204245881545,0.5835279700383447,0.5565817381906155,0.6016635859519408,0.5653923541247485,0.5763947294645361,0.24144410790193918,0.18573959639069243,0.4852817493692178,0.6197459068592841,0.022160488956892436,0.39298566290189346,0.09392537539739704,0.5789548067126465,0.010945706536665658,0.5477050358154146,0.02573350507253479,0.5970601187611726,0.07629515875430135,0.5608494946641203,0.09377029837754466,0.5761485395725361,0.035505126739251665,0.2415335913267886,0.013202862592988567,0.18674338311672686,0.07193296722845006,0.4858991976414586,0.0932371590720588,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
fnirs_yiruid_vft_native_group_robustness,fnirs,yiruid,vft,signal_qc,hist_gradient_boosting,20260707,inner_cv,0.5,1480,568,912,0.5839501096491229,0.46455412481940217,0.5638204225352113,0.5560417843026538,0.5651408450704225,0.5625,0.5635135135135135,0.2449366435886824,0.1112559894130592,0.4864864864864865,0.5970441246623864,0.06232258868721359,0.457817016246225,0.08087456485110965,0.569457936257305,0.034435942224484345,0.5492194279830388,0.03787964064825461,0.576220558083343,0.031600189174691505,0.5626953144312669,0.06720479745968565,0.5660250043406448,0.04480357738408334,0.24445116056170071,0.004277238921241906,0.13563714593995674,0.10725416132498741,0.4841494623783569,0.04943352537964245,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
fnirs_yiruid_vft_native_group_robustness,fnirs,yiruid,vft,signal_qc,logistic_regression,20260707,inner_cv,0.4,1480,568,912,0.569957298616259,0.43536329680474745,0.5517744625648628,0.5173948308744547,0.698943661971831,0.40460526315789475,0.5175675675675676,0.26710006557537685,0.14019500367503726,0.6351351351351351,0.5752235585865783,0.04068834144992672,0.42421496654070623,0.10506131745547126,0.5528254659381318,0.02108333078811895,0.5040471993164382,0.03201422819287085,0.7061004047423649,0.04970509000048768,0.3995505271338985,0.04563707283111415,0.5124272255636532,0.030852812072402896,0.26261928849346666,0.025781861853213694,0.18593599291244428,0.05177805334691974,0.6362127564010291,0.04410139630820425,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
fnirs_yiruid_vft_native_group_robustness,fnirs,yiruid,vft,signal_qc,random_forest,20260707,inner_cv,0.45,1480,568,912,0.5470236440573264,0.4364914202453689,0.5289952433901656,0.5273625838647548,0.4647887323943662,0.5932017543859649,0.543918918918919,0.23954390345827706,0.058579101128403525,0.42905405405405406,0.5777141225514268,0.04667893753030918,0.44318753671292593,0.09426294109695955,0.5474374410026158,0.03925042661128924,0.5233685059828292,0.02851184895114461,0.5109214799431042,0.12517696095250114,0.5839534020621275,0.08807893687086307,0.5443175807495985,0.037124472089106415,0.23747516327365795,0.017858629027533348,0.12718349131065732,0.07498821317413089,0.4438910239667905,0.0870371003511683,/data4/qiangminc/code/chongqing/artifacts/splits/subject_splits_group_robustness_v1.csv,robustness_fold
