cohort_name,modality,device,task,feature_set,model,seed,threshold_type,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate,auroc_fold_mean,auroc_fold_std,auprc_fold_mean,auprc_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,macro_f1_fold_mean,macro_f1_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,accuracy_fold_mean,accuracy_fold_std,brier_score_fold_mean,brier_score_fold_std,ece_fold_mean,ece_fold_std,positive_prediction_rate_fold_mean,positive_prediction_rate_fold_std
core3_same_cohort,eeg,,rest,demographics,hist_gradient_boosting,20260707,fixed_0_5,0.5,661,229,432,0.557364952288533,0.3752459789490959,0.5624393498301795,0.5211374807424254,0.6943231441048034,0.4305555555555556,0.5219364599092284,0.24610099961133117,0.14993635337380934,0.6127080181543116,0.5612723173822922,0.0363903970671088,0.3822925926115712,0.04766730210466291,0.5607430192267565,0.033926744948887824,0.519218870887054,0.02549051913346272,0.6916483246698847,0.0662900269047613,0.42983771378362823,0.017242406924829437,0.5210131786184654,0.025608400375059605,0.24630519466214684,0.0052988304268101714,0.15157927799422236,0.03628072528938594,0.6120783548385967,0.028553273106392527
core3_same_cohort,eeg,,rest,demographics,hist_gradient_boosting,20260707,inner_cv,0.45,661,229,432,0.557364952288533,0.3752459789490959,0.5471100194080543,0.3992296150960817,0.9344978165938864,0.1597222222222222,0.4281391830559758,0.24610099961133117,0.14993635337380934,0.8729198184568835,0.5612723173822922,0.0363903970671088,0.3822925926115712,0.04766730210466291,0.5455370374229395,0.04163160091723322,0.39791457979038497,0.04832539579295863,0.9322224064205636,0.0574803663354852,0.15885166842531537,0.037580340676041504,0.4281789441769982,0.05158333624438211,0.24630519466214684,0.0052988304268101714,0.15157927799422236,0.03628072528938594,0.8732227924926464,0.023712711828512607
core3_same_cohort,eeg,,rest,demographics,logistic_regression,20260707,fixed_0_5,0.5,661,229,432,0.5754083778101244,0.39418606553329066,0.5690653808830666,0.5521186728782206,0.5895196506550219,0.5486111111111112,0.5627836611195158,0.24496890259024315,0.15559877814202142,0.49924357034795763,0.5837133157996381,0.04209443912760457,0.40819215150351773,0.04404860010301875,0.5682130711719632,0.04129993902135926,0.5502005095285557,0.03451349272378072,0.5879650829847676,0.07645123619056787,0.5484610593591588,0.02977926014922059,0.561678547781835,0.03227955993458552,0.24521728727742445,0.0071798347834653746,0.15444679867417904,0.04039394791858247,0.49872017501385246,0.03156206983310744
core3_same_cohort,eeg,,rest,demographics,logistic_regression,20260707,inner_cv,0.5,661,229,432,0.5754083778101244,0.39418606553329066,0.5690653808830666,0.5521186728782206,0.5895196506550219,0.5486111111111112,0.5627836611195158,0.24496890259024315,0.15559877814202142,0.49924357034795763,0.5837133157996381,0.04209443912760457,0.40819215150351773,0.04404860010301875,0.5682130711719632,0.04129993902135926,0.5502005095285557,0.03451349272378072,0.5879650829847676,0.07645123619056787,0.5484610593591588,0.02977926014922059,0.561678547781835,0.03227955993458552,0.24521728727742445,0.0071798347834653746,0.15444679867417904,0.04039394791858247,0.49872017501385246,0.03156206983310744
core3_same_cohort,eeg,,rest,demographics,random_forest,20260707,fixed_0_5,0.5,661,229,432,0.5593209202652434,0.376401249910773,0.5448912340287886,0.524853151570842,0.5851528384279476,0.5046296296296297,0.5325264750378215,0.24872741347379007,0.14455616667117724,0.5264750378214826,0.5696568795148556,0.04665627219301417,0.3927176105085852,0.05002985145667744,0.5469011666621547,0.027004866021345154,0.5233105831702709,0.0377342559746728,0.5879236232926577,0.058344147309402385,0.5058787100316519,0.0857947960572268,0.5315789301449596,0.04232717853268975,0.2493413728952223,0.018033582065280537,0.15097727066589528,0.0549564034530207,0.526741862527681,0.07003979181019171
core3_same_cohort,eeg,,rest,demographics,random_forest,20260707,inner_cv,0.4,661,229,432,0.5593209202652434,0.376401249910773,0.5581028626880156,0.4656723885143038,0.8384279475982532,0.2777777777777778,0.4720121028744327,0.24872741347379007,0.14455616667117724,0.762481089258699,0.5696568795148556,0.04665627219301417,0.3927176105085852,0.05002985145667744,0.5579390036074281,0.03945882359981419,0.46410271885727433,0.057250236061957616,0.8382784019530407,0.03985723019717965,0.2775996052618153,0.06614925327310513,0.47164654502293485,0.055420748526630835,0.2493413728952223,0.018033582065280537,0.15097727066589528,0.0549564034530207,0.7632876154931179,0.041784289209373084
core3_same_cohort,eeg,,rest,modality,hist_gradient_boosting,20260707,fixed_0_5,0.5,661,229,432,0.4936671114345787,0.34013944144861397,0.50935023451399,0.5036398247527215,0.4585152838427948,0.5601851851851852,0.5249621785173979,0.2502832963283193,0.14486133348734784,0.4462934947049924,0.4970700083998219,0.03895360528533576,0.3536114199162325,0.04993005633877361,0.5067335038214962,0.053181695637813754,0.5004439378717442,0.047195724027565354,0.4529937603765986,0.11257179274931972,0.5604732472663938,0.02712579074951187,0.5246109450334326,0.038122988118830366,0.25035742511400205,0.002292309147080925,0.14884349805697278,0.029290641029757515,0.4453963102380851,0.05062842992429093
core3_same_cohort,eeg,,rest,modality,hist_gradient_boosting,20260707,inner_cv,0.45,661,229,432,0.4936671114345787,0.34013944144861397,0.4888150978489406,0.37979695621985776,0.7947598253275109,0.18287037037037038,0.394856278366112,0.2502832963283193,0.14486133348734784,0.8093797276853253,0.4970700083998219,0.03895360528533576,0.3536114199162325,0.04993005633877361,0.4890341247921654,0.027396059030224892,0.37867837105565033,0.02502289109467282,0.7956691735920323,0.05087630895434303,0.18239907599229851,0.04213761980678093,0.39565656457356807,0.016732152113736895,0.25035742511400205,0.002292309147080925,0.14884349805697278,0.029290641029757515,0.8087496974375519,0.036869705253034415
core3_same_cohort,eeg,,rest,modality,logistic_regression,20260707,fixed_0_5,0.5,661,229,432,0.514323548439269,0.35750516162969004,0.5285005256348051,0.5225971009485143,0.4759825327510917,0.5810185185185185,0.5446293494704992,0.2737527447496676,0.17073130313053222,0.43872919818456885,0.5177696968634814,0.034926427478250935,0.36658892886668815,0.02911976085318397,0.5285418555356085,0.02683047746679697,0.5212544377823419,0.02095934940196144,0.47554087271808243,0.05582179736684902,0.5815428383531348,0.041208556004353636,0.5442980111688096,0.026023887909912554,0.2746283235400469,0.01979229420584884,0.19448905551138615,0.028214453034448455,0.4372683828279471,0.03801158049480912
core3_same_cohort,eeg,,rest,modality,logistic_regression,20260707,inner_cv,0.35,661,229,432,0.514323548439269,0.35750516162969004,0.49720503800743976,0.41509154970253564,0.7467248908296943,0.24768518518518517,0.4205748865355522,0.2737527447496676,0.17073130313053222,0.7503782148260212,0.5177696968634814,0.034926427478250935,0.36658892886668815,0.02911976085318397,0.5013627179624848,0.01883976716496533,0.41581378996067186,0.05735867269276302,0.7469952359318617,0.07518107160279432,0.25573019999310787,0.09346265964742244,0.4235743246616634,0.05094018010284742,0.2746283235400469,0.01979229420584884,0.19448905551138615,0.028214453034448455,0.7452623317053353,0.08617112171824443
