cohort_name,modality,device,task,feature_set,model,seed,metric,ci_low,ci_high,n_bootstrap
core3_same_cohort,eeg,,rest,modality,logistic_regression,20260707,accuracy,0.3857791225416036,0.46142208774583965,1000
core3_same_cohort,eeg,,rest,modality,logistic_regression,20260707,brier_score,0.25864435687286946,0.2873678115266236,1000
core3_same_cohort,eeg,,rest,modality,logistic_regression,20260707,ece,0.13938014336640012,0.2098383988692912,1000
core3_same_cohort,eeg,,rest,modality,logistic_regression,20260707,positive_prediction_rate,0.7170953101361573,0.7821482602118003,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,auroc,0.45925129801711984,0.5462159383823839,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,auprc,0.3087507229680498,0.4162012993527713,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,balanced_accuracy,0.4711247373813161,0.5144359725827397,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,macro_f1,0.2871822413551297,0.35129163131966445,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,sensitivity,0.869560321190756,0.942231259968102,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,specificity,0.05410816382627817,0.10550781754748675,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,accuracy,0.3313161875945537,0.40242057488653554,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,brier_score,0.22997935038098852,0.24693118757766705,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,ece,0.06493163892319515,0.12711554613687986,1000
core3_same_cohort,eeg,,rest,modality,random_forest,20260707,positive_prediction_rate,0.8956127080181543,0.9364599092284418,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,auroc,0.4501476053409865,0.5459109248938161,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,auprc,0.3037708597863045,0.4006671393748207,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,balanced_accuracy,0.4748313277374489,0.5025327038992994,1000
core3_same_cohort,eeg,,rest,modality_demographics,hist_gradient_boosting,20260707,macro_f1,0.2467598089762845,0.29412662090007624,1000
