cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.5332489677215797,799,223
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.5183775713337757,823,199
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.5394232334081958,824,198
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.5,0.532355770149501,834,188
eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,4,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.5062698277332425,808,214
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,0,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.6,0.5094173971494026,799,223
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,1,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.35,0.502899800928998,823,199
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,2,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.6,0.5084073820915926,824,198
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,3,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.7,0.4807534285841683,834,188
eeg_rest_native,eeg,,rest,signal,logistic_regression,20260707,217,4,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.65,0.5200341122292342,808,214
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.501694171227897,799,223
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,1,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.5061579296615792,823,199
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,2,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.5230804283435863,824,198
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,3,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.4,0.5201128741504182,834,188
eeg_rest_native,eeg,,rest,signal,random_forest,20260707,217,4,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.55,0.4800682244584684,808,214
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.6,0.45134916388877455,799,223
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.48838752488387527,823,199
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.4,0.4770009439182371,824,198
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.4990891081540745,834,188
eeg_rest_native,eeg,,rest,signal,hist_gradient_boosting,20260707,217,4,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 10, ""model__max_leaf_nodes"": 7}",0.55,0.49357325601228036,808,214
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,0,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5091979093789868,799,223
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,1,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.75,0.4947445255474452,823,199
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,2,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.6,0.5028480291638187,824,198
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,3,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.55,0.48302110338940946,834,188
eeg_rest_native,eeg,,rest,signal_qc,logistic_regression,20260707,233,4,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5223605662630053,808,214
eeg_rest_native,eeg,,rest,signal_qc,random_forest,20260707,233,0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.5150349122734817,799,223
