cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,fixed_0_5,0,0.5,223,69,154,0.5,0.3094170403587444,0.5,0.40848806366047746,0.0,1.0,0.6905829596412556,0.2155724859186619,0.04352413611184375,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,inner_cv,0,0.5,223,69,154,0.5,0.3094170403587444,0.5,0.40848806366047746,0.0,1.0,0.6905829596412556,0.2155724859186619,0.04352413611184375,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,fixed_0_5,1,0.5,199,76,123,0.5,0.38190954773869346,0.5,0.38198757763975155,0.0,1.0,0.6180904522613065,0.23833625206713716,0.04776616985290988,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,inner_cv,1,0.5,199,76,123,0.5,0.38190954773869346,0.5,0.38198757763975155,0.0,1.0,0.6180904522613065,0.23833625206713716,0.04776616985290988,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,fixed_0_5,2,0.5,198,66,132,0.5,0.3333333333333333,0.5,0.4,0.0,1.0,0.6666666666666666,0.2223794851855343,0.012540453074433633,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,inner_cv,2,0.5,198,66,132,0.5,0.3333333333333333,0.5,0.4,0.0,1.0,0.6666666666666666,0.2223794851855343,0.012540453074433633,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,fixed_0_5,3,0.5,188,64,124,0.5,0.3404255319148936,0.5,0.3974358974358974,0.0,1.0,0.6595744680851063,0.22454967298165135,0.00369916832491457,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,inner_cv,3,0.5,188,64,124,0.5,0.3404255319148936,0.5,0.3974358974358974,0.0,1.0,0.6595744680851063,0.22454967298165135,0.00369916832491457,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,fixed_0_5,4,0.5,214,76,138,0.5,0.35514018691588783,0.5,0.39204545454545453,0.0,1.0,0.6448598130841121,0.2292344867004976,0.014793652262422463,0.0
eeg_rest_native,eeg,,rest,no_information,no_information_prior,20260707,0,inner_cv,4,0.5,214,76,138,0.5,0.35514018691588783,0.5,0.39204545454545453,0.0,1.0,0.6448598130841121,0.2292344867004976,0.014793652262422463,0.0
eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,4,fixed_0_5,0,0.5,223,69,154,0.6042254846602673,0.39515534313243256,0.5860624882364013,0.5626989984185556,0.5942028985507246,0.577922077922078,0.5829596412556054,0.24157964711818739,0.1850079456227141,0.47533632286995514
