device,task,L_id,raw_rows,duration_sec,marker_count,marker_values,marker_indices_first_20,markers_after_2000,source_file
bikom,1back,L102,1553,155.2,6,A0 A1 B0 B1 ED ST,0 293 622 921 1248 1549,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L102_B/L102_B_HBA_Oxy_20251106 090216_A02177_YYY_1-Back.csv
bikom,1back,L103,1553,155.2,6,A0 A1 B0 B1 ED ST,0 293 621 921 1249 1549,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L103_B/L103_B_HBA_Oxy_20251106 104632_A02178_CXR_1-Back.csv
bikom,1back,L104,1553,155.2,6,A0 A1 B0 B1 ED ST,0 294 621 921 1249 1549,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L104_B/L104_B_HBA_Oxy_20251106 112437_A02179_TX_1-Back.csv
bikom,1back,L105,1553,155.2,6,A0 A1 B0 B1 ED ST,0 293 621 922 1249 1549,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L105_B/L105_B_HBA_Oxy_20251106 103105_A02180_zyf_1-Back.csv
bikom,1back,L106,1554,155.3,6,A0 A1 B0 B1 ED ST,0 293 621 922 1249 1550,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L106_B/L106_B_HBA_Oxy_20251106 112417_A02181_lhx_1-Back.csv
bikom,1back,L108,1552,155.1,6,A0 A1 B0 B1 ED ST,0 293 620 922 1249 1550,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L108_B/L108_B_HBA_Oxy_20251106 105200_A02183_QCJ_1-Back.csv
bikom,1back,L10,1554,155.3,6,A0 A1 B0 B1 ED ST,0 293 621 921 1249 1549,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L10_B/L10_B_HBA_Oxy_20251105 132438_A02020_ZYX_1-Back.csv
bikom,1back,L112,1553,155.2,6,A0 A1 B0 B1 ED ST,0 294 621 921 1249 1549,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L112_B/L112_B_HBA_Oxy_20251106 134531_A02188_wty_1-Back.csv
bikom,1back,L116,1554,155.3,6,A0 A1 B0 B1 ED ST,0 293 620 921 1249 1550,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L116_B/L116_B_HBA_Oxy_20251106 132119_A02193_ycx_1-Back.csv
bikom,1back,L118,1553,155.2,6,A0 A1 B0 B1 ED ST,0 294 621 922 1249 1549,0,/data4/qiangminc/datasets_qiangmin/chongqing/近红外/必可明近红外/4.1-Back_1272/L118_B/L118_B_HBA_Oxy_20251106 134050_A02195_ZJY_1-Back.csv
