fold,epoch,train_loss
1,1,1.1010208634229808
1,2,1.0651551500344887
1,3,1.0588297095054235
1,4,1.049663388576263
1,5,1.0513149026112678
1,6,1.0430418971257331
1,7,1.037656931540905
1,8,1.0374081471027472
1,9,1.0321703858864613
1,10,1.0320249826480181
1,11,1.0223219578082745
1,12,1.0313229346886659
1,13,1.0178356675001292
1,14,1.0144868806386604
1,15,1.0145089702728467
1,16,1.012985681111996
1,17,1.018000847254044
1,18,1.00249188603499
1,19,1.0077572625416975
1,20,1.0007198277192237
1,21,1.0054604365275457
1,22,1.0064008747920012
1,23,0.9936872040614103
1,24,1.0027176584952917
1,25,0.9979013120516752
1,26,0.9966878959765801
1,27,0.9890480591700628
1,28,0.9962852108172882
1,29,0.9948180203254406
1,30,0.9878129684008085
1,31,0.9863514984265352
1,32,0.992268483608197
1,33,0.9892547084734991
1,34,0.9862304215247815
1,35,0.9911922682554294
1,36,0.9809383872227792
1,37,0.9731099490935986
1,38,0.9911870604906327
1,39,0.9815484583377838
1,40,0.9785510905278034
1,41,0.9794841706752777
1,42,0.9823574095200269
1,43,0.9720274110635122
1,44,0.9778610406777798
1,45,0.9746721180585715
1,46,0.9714713058410547
1,47,0.9827867532387758
1,48,0.9872323312820532
1,49,0.9740885557272495
1,50,0.9792278026923155
1,51,0.9730984759636414
1,52,0.9735475564614321
1,53,0.9720434011557163
1,54,0.9649627560224289
1,55,0.9715573550798954
1,56,0.9719991706884824
1,57,0.9726285338401794
1,58,0.9723062561108515
1,59,0.971007947738354
1,60,0.9786552588144938
1,61,0.971905326231932
1,62,0.95849603949449
1,63,0.9626464423460838
1,64,0.9633924899957119
1,65,0.9660980220024402
1,66,0.9702992041905721
1,67,0.9631305184119787
1,68,0.9671244109288241
1,69,0.9638245900472006
1,70,0.9701556838475741
1,71,0.9666989269929055
1,72,0.9614000396850781
1,73,0.9619072156074719
1,74,0.9624391947037134
2,1,1.0948088520612471
2,2,1.0604225122011626
2,3,1.0473084862415607
2,4,1.046728294629317
2,5,1.0441829508695848
2,6,1.0422306037866151
2,7,1.0342725668198023
2,8,1.0344201372219965
2,9,1.033691636262796
2,10,1.031318730268723
2,11,1.0294453753874853
2,12,1.0298542181650798
2,13,1.0300727501893654
2,14,1.0242363566007369
2,15,1.02526748027557
2,16,1.017596306709143
2,17,1.0094974575898585
2,18,1.000857798716961
2,19,0.9939300051102271
2,20,0.9936637442845565
2,21,0.9941204931491461
2,22,0.9888253410657247
2,23,0.9873753190040588
2,24,0.9822542919562414
2,25,0.9838990844213046
2,26,0.9853920401670994
2,27,0.9775088047369932
2,28,0.9763770699501038
2,29,0.9705233031358474
