task,model,fold,n_subjects,threshold,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,tn,fp,fn,tp
1back,eegnet,1,339,0.388047905071922,0.5440671031096563,0.3509512945710293,0.5104337152209493,0.40384615384615385,0.6170212765957447,0.3559322033898305,0.22360822445062978,145,90,62,42
1back,eegnet,2,339,0.2868935816428241,0.5867430441898527,0.37231826059556444,0.5407937806873977,0.6730769230769231,0.4085106382978723,0.4472843450479233,0.21705849123597093,96,139,34,70
1back,eegnet,3,339,0.326680546715146,0.4827332242225859,0.30640900864635656,0.4977495908346972,0.4423076923076923,0.5531914893617021,0.3607843137254902,0.23371929436110303,130,105,58,46
1back,eegnet,4,339,0.4259860679507256,0.5358160358160358,0.35697031637101706,0.5427960927960928,0.5428571428571428,0.5427350427350427,0.42379182156133827,0.2473098344076924,127,107,48,57
1back,eegnet,5,338,0.33656472712755203,0.5345989480604865,0.35067543700346315,0.5352564102564102,0.5961538461538461,0.47435897435897434,0.4290657439446367,0.23517633080278977,111,123,42,62
1back,eegnet,overall_oof,1694,0.33656472712755203,0.5337365188919596,0.33955690452935594,0.5196822950159785,0.5662188099808061,0.4731457800511509,0.41143654114365413,0.2313721907212056,555,618,226,295
