cohort_name,modality,device,task,feature_set,model,seed,auroc_standard_cv,auprc_standard_cv,balanced_accuracy_standard_cv,macro_f1_standard_cv,auroc_group_cv,auprc_group_cv,balanced_accuracy_group_cv,macro_f1_group_cv,auroc_delta_standard_minus_group,auprc_delta_standard_minus_group,balanced_accuracy_delta_standard_minus_group,macro_f1_delta_standard_minus_group
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,0.5336911693352742,0.3723111509898781,0.4933588064046579,0.4754844637487471,0.490690198932557,0.342616253565831,0.4695738314733948,0.4697364726645542,0.043000970402717165,0.02969489742404713,0.02378497493126308,0.005747991084192883
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,logistic_regression,20260707,0.5467208474850396,0.37876460558859065,0.5254023127931424,0.47349483629971434,0.529935912987223,0.36139804124644576,0.5388969755781983,0.48713600065916407,0.016784934497816595,0.017366564342144897,-0.013494662785055844,-0.013641164359449731
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,random_forest,20260707,0.5374818049490538,0.3772376514270379,0.5126405062267507,0.495438635686625,0.48378113375384113,0.33937446062849386,0.4935912987223031,0.4932603922444271,0.05370067119521271,0.037863190798544055,0.019049207504447607,0.0021782434421979135
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_only,hist_gradient_boosting,20260707,0.5185286268801552,0.3543752052678669,0.4939703622836811,0.3965044998043563,0.499540069545528,0.33555121773694563,0.5212679928837134,0.5082503138897689,0.018988557334627232,0.018823987530921293,-0.02729763060003232,-0.11174581408541262
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_only,logistic_regression,20260707,0.5308355571728934,0.36235093078271674,0.5261907650008086,0.48240191229805474,0.5155618227397702,0.3487296573327419,0.5313965712437329,0.511576354679803,0.015273734433123187,0.013621273449974824,-0.005205806242924216,-0.029174442381748267
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_only,random_forest,20260707,0.5188217693676209,0.35418471766200355,0.49539058709364386,0.40274922709925876,0.4728438864628821,0.32127581216776757,0.5140607310367136,0.49860779494791774,0.04597788290473881,0.032908905494235974,-0.018670143943069706,-0.09585856784865898
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_sex,hist_gradient_boosting,20260707,0.5507035419699174,0.3729671381908703,0.543743934983018,0.37090855572998427,0.5227690845867702,0.34821435052967303,0.5147480996280123,0.4689426279226798,0.02793445738314726,0.024752787661197262,0.028995835355005717,-0.09803407219269555
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_sex,logistic_regression,20260707,0.5759239042535987,0.390041807827611,0.5685953420669578,0.5216901460054593,0.5715318211224325,0.3889752116194581,0.5132975497331392,0.499900449966153,0.004392083131166236,0.0010665962081529146,0.055297792333818596,0.02178969603930625
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_sex,random_forest,20260707,0.5472768073750607,0.3666303871225574,0.5416919375707585,0.3729879324845,0.516532225456898,0.34762176998941874,0.5491620168203137,0.39752604166666666,0.03074458191816265,0.019008617133138672,-0.007470079249555228,-0.024538109182166645
core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_sex_grade,hist_gradient_boosting,20260707,0.5601649684619117,0.38328357149437153,0.5445829289988678,0.43305680539932506,0.5285561216238073,0.36011611459026016,0.5188268235484392,0.4559072034704691,0.03160884683810439,0.023167456904111372,0.025756105450428612,-0.02285039807114403
