cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,pca_used,pca_n_components,pca_explained_variance_ratio_sum,visual_branch_feature_count,nonvisual_branch_feature_count
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,0,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,1,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,2,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,3,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,logistic_regression,20260707,3,4,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,0,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,1,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,2,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,3,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,random_forest,20260707,3,4,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,0,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,1,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,2,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,3,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,demographics,hist_gradient_boosting,20260707,3,4,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,0,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,1,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,2,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,3,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,logistic_regression,20260707,16,4,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,0,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,1,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,2,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,3,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,random_forest,20260707,16,4,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,0,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,1,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,2,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,3,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc,hist_gradient_boosting,20260707,16,4,0,0,,0,0
standard_cv,eeg_rest_native,eeg,,rest,qc_demographics,logistic_regression,20260707,19,0,0,0,,0,0
