cohort_name,modality,device,task,feature_set,n_subjects,feature_count,numeric_count,categorical_count
eeg_rest_native,eeg,,rest,no_information,1022,0,0,0
eeg_rest_native,eeg,,rest,demographics,1022,3,1,2
eeg_rest_native,eeg,,rest,qc,1022,16,16,0
eeg_rest_native,eeg,,rest,qc_demographics,1022,19,17,2
eeg_rest_native,eeg,,rest,signal,1022,217,217,0
eeg_rest_native,eeg,,rest,signal_qc,1022,233,233,0
eeg_rest_native,eeg,,rest,signal_demographics,1022,220,218,2
eeg_rest_native,eeg,,rest,signal_qc_demographics,1022,236,234,2
eeg_rest_native,eeg,,rest,age_only,1022,1,1,0
eeg_rest_native,eeg,,rest,sex_only,1022,1,0,1
eeg_rest_native,eeg,,rest,grade_only,1022,1,0,1
eeg_rest_native,eeg,,rest,grade_group_only,1022,1,0,1
eeg_rest_native,eeg,,rest,age_sex,1022,2,1,1
eeg_rest_native,eeg,,rest,age_grade,1022,2,1,1
eeg_rest_native,eeg,,rest,sex_grade,1022,2,0,2
eeg_rest_native,eeg,,rest,age_sex_grade,1022,3,1,2
eeg_rest_native,eeg,,rest,age_sex_grade_group,1022,4,1,3
eeg_rest_native,eeg,,rest,group_proxy_only,1022,4,0,4
eeg_rest_native,eeg,,rest,fnirs_device_only,1022,1,0,1
eeg_rest_native,eeg,,rest,demographics_group,1022,7,1,6
eeg_rest_native,eeg,,rest,demographics_group_device,1022,8,1,7
eeg_oddball_native,eeg,,oddball,no_information,1827,0,0,0
eeg_oddball_native,eeg,,oddball,demographics,1827,3,1,2
eeg_oddball_native,eeg,,oddball,qc,1827,16,16,0
eeg_oddball_native,eeg,,oddball,qc_demographics,1827,19,17,2
eeg_oddball_native,eeg,,oddball,signal,1827,231,231,0
eeg_oddball_native,eeg,,oddball,signal_qc,1827,247,247,0
eeg_oddball_native,eeg,,oddball,signal_demographics,1827,234,232,2
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,1827,250,248,2
eeg_oddball_native,eeg,,oddball,age_only,1827,1,1,0
eeg_oddball_native,eeg,,oddball,sex_only,1827,1,0,1
eeg_oddball_native,eeg,,oddball,grade_only,1827,1,0,1
eeg_oddball_native,eeg,,oddball,grade_group_only,1827,1,0,1
eeg_oddball_native,eeg,,oddball,age_sex,1827,2,1,1
eeg_oddball_native,eeg,,oddball,age_grade,1827,2,1,1
eeg_oddball_native,eeg,,oddball,sex_grade,1827,2,0,2
eeg_oddball_native,eeg,,oddball,age_sex_grade,1827,3,1,2
eeg_oddball_native,eeg,,oddball,age_sex_grade_group,1827,4,1,3
eeg_oddball_native,eeg,,oddball,group_proxy_only,1827,4,0,4
eeg_oddball_native,eeg,,oddball,fnirs_device_only,1827,1,0,1
eeg_oddball_native,eeg,,oddball,demographics_group,1827,7,1,6
eeg_oddball_native,eeg,,oddball,demographics_group_device,1827,8,1,7
eeg_1back_native,eeg,,1back,no_information,1154,0,0,0
eeg_1back_native,eeg,,1back,demographics,1154,3,1,2
eeg_1back_native,eeg,,1back,qc,1154,16,16,0
eeg_1back_native,eeg,,1back,qc_demographics,1154,19,17,2
eeg_1back_native,eeg,,1back,signal,1154,217,217,0
eeg_1back_native,eeg,,1back,signal_qc,1154,233,233,0
eeg_1back_native,eeg,,1back,signal_demographics,1154,220,218,2
eeg_1back_native,eeg,,1back,signal_qc_demographics,1154,236,234,2
eeg_1back_native,eeg,,1back,age_only,1154,1,1,0
eeg_1back_native,eeg,,1back,sex_only,1154,1,0,1
eeg_1back_native,eeg,,1back,grade_only,1154,1,0,1
eeg_1back_native,eeg,,1back,grade_group_only,1154,1,0,1
eeg_1back_native,eeg,,1back,age_sex,1154,2,1,1
eeg_1back_native,eeg,,1back,age_grade,1154,2,1,1
eeg_1back_native,eeg,,1back,sex_grade,1154,2,0,2
eeg_1back_native,eeg,,1back,age_sex_grade,1154,3,1,2
eeg_1back_native,eeg,,1back,age_sex_grade_group,1154,4,1,3
eeg_1back_native,eeg,,1back,group_proxy_only,1154,4,0,4
eeg_1back_native,eeg,,1back,fnirs_device_only,1154,1,0,1
eeg_1back_native,eeg,,1back,demographics_group,1154,7,1,6
eeg_1back_native,eeg,,1back,demographics_group_device,1154,8,1,7
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,signal,999,527,527,0
eeg_rest_v1_features_fixed_split,eeg,,rest_v1_control,demographics,999,3,1,2
fnirs_yiruid_rest_native,fnirs,yiruid,rest,no_information,1514,0,0,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,demographics,1514,3,1,2
fnirs_yiruid_rest_native,fnirs,yiruid,rest,qc,1514,17,17,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,qc_demographics,1514,20,18,2
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal,1514,281,281,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal_qc,1514,298,298,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal_demographics,1514,284,282,2
fnirs_yiruid_rest_native,fnirs,yiruid,rest,signal_qc_demographics,1514,301,299,2
fnirs_yiruid_rest_native,fnirs,yiruid,rest,age_only,1514,1,1,0
fnirs_yiruid_rest_native,fnirs,yiruid,rest,sex_only,1514,1,0,1
fnirs_yiruid_rest_native,fnirs,yiruid,rest,grade_only,1514,1,0,1
fnirs_yiruid_rest_native,fnirs,yiruid,rest,grade_group_only,1514,1,0,1
fnirs_yiruid_rest_native,fnirs,yiruid,rest,age_sex,1514,2,1,1
fnirs_yiruid_rest_native,fnirs,yiruid,rest,age_grade,1514,2,1,1
fnirs_yiruid_rest_native,fnirs,yiruid,rest,sex_grade,1514,2,0,2
fnirs_yiruid_rest_native,fnirs,yiruid,rest,age_sex_grade,1514,3,1,2
fnirs_yiruid_rest_native,fnirs,yiruid,rest,age_sex_grade_group,1514,4,1,3
fnirs_yiruid_rest_native,fnirs,yiruid,rest,group_proxy_only,1514,4,0,4
fnirs_yiruid_rest_native,fnirs,yiruid,rest,fnirs_device_only,1514,1,0,1
fnirs_yiruid_rest_native,fnirs,yiruid,rest,demographics_group,1514,7,1,6
fnirs_yiruid_rest_native,fnirs,yiruid,rest,demographics_group_device,1514,8,1,7
fnirs_yiruid_vft_native,fnirs,yiruid,vft,no_information,1480,0,0,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,demographics,1480,3,1,2
fnirs_yiruid_vft_native,fnirs,yiruid,vft,qc,1480,17,17,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,qc_demographics,1480,20,18,2
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal,1480,281,281,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal_qc,1480,298,298,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal_demographics,1480,284,282,2
fnirs_yiruid_vft_native,fnirs,yiruid,vft,signal_qc_demographics,1480,301,299,2
fnirs_yiruid_vft_native,fnirs,yiruid,vft,age_only,1480,1,1,0
fnirs_yiruid_vft_native,fnirs,yiruid,vft,sex_only,1480,1,0,1
fnirs_yiruid_vft_native,fnirs,yiruid,vft,grade_only,1480,1,0,1
fnirs_yiruid_vft_native,fnirs,yiruid,vft,grade_group_only,1480,1,0,1
fnirs_yiruid_vft_native,fnirs,yiruid,vft,age_sex,1480,2,1,1
fnirs_yiruid_vft_native,fnirs,yiruid,vft,age_grade,1480,2,1,1
fnirs_yiruid_vft_native,fnirs,yiruid,vft,sex_grade,1480,2,0,2
fnirs_yiruid_vft_native,fnirs,yiruid,vft,age_sex_grade,1480,3,1,2
fnirs_yiruid_vft_native,fnirs,yiruid,vft,age_sex_grade_group,1480,4,1,3
fnirs_yiruid_vft_native,fnirs,yiruid,vft,group_proxy_only,1480,4,0,4
fnirs_yiruid_vft_native,fnirs,yiruid,vft,fnirs_device_only,1480,1,0,1
fnirs_yiruid_vft_native,fnirs,yiruid,vft,demographics_group,1480,7,1,6
fnirs_yiruid_vft_native,fnirs,yiruid,vft,demographics_group_device,1480,8,1,7
fnirs_yiruid_1back_native,fnirs,yiruid,1back,no_information,1422,0,0,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,demographics,1422,3,1,2
fnirs_yiruid_1back_native,fnirs,yiruid,1back,qc,1422,16,16,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,qc_demographics,1422,19,17,2
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal,1422,281,281,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal_qc,1422,297,297,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal_demographics,1422,284,282,2
fnirs_yiruid_1back_native,fnirs,yiruid,1back,signal_qc_demographics,1422,300,298,2
fnirs_yiruid_1back_native,fnirs,yiruid,1back,age_only,1422,1,1,0
fnirs_yiruid_1back_native,fnirs,yiruid,1back,sex_only,1422,1,0,1
fnirs_yiruid_1back_native,fnirs,yiruid,1back,grade_only,1422,1,0,1
fnirs_yiruid_1back_native,fnirs,yiruid,1back,grade_group_only,1422,1,0,1
fnirs_yiruid_1back_native,fnirs,yiruid,1back,age_sex,1422,2,1,1
fnirs_yiruid_1back_native,fnirs,yiruid,1back,age_grade,1422,2,1,1
fnirs_yiruid_1back_native,fnirs,yiruid,1back,sex_grade,1422,2,0,2
fnirs_yiruid_1back_native,fnirs,yiruid,1back,age_sex_grade,1422,3,1,2
fnirs_yiruid_1back_native,fnirs,yiruid,1back,age_sex_grade_group,1422,4,1,3
fnirs_yiruid_1back_native,fnirs,yiruid,1back,group_proxy_only,1422,4,0,4
fnirs_yiruid_1back_native,fnirs,yiruid,1back,fnirs_device_only,1422,1,0,1
fnirs_yiruid_1back_native,fnirs,yiruid,1back,demographics_group,1422,7,1,6
fnirs_yiruid_1back_native,fnirs,yiruid,1back,demographics_group_device,1422,8,1,7
fnirs_bikom_rest_native,fnirs,bikom,rest,no_information,1017,0,0,0
fnirs_bikom_rest_native,fnirs,bikom,rest,demographics,1017,3,1,2
fnirs_bikom_rest_native,fnirs,bikom,rest,qc,1017,23,23,0
fnirs_bikom_rest_native,fnirs,bikom,rest,qc_demographics,1017,26,24,2
fnirs_bikom_rest_native,fnirs,bikom,rest,signal,1017,380,380,0
fnirs_bikom_rest_native,fnirs,bikom,rest,signal_qc,1017,403,403,0
fnirs_bikom_rest_native,fnirs,bikom,rest,signal_demographics,1017,383,381,2
fnirs_bikom_rest_native,fnirs,bikom,rest,signal_qc_demographics,1017,406,404,2
fnirs_bikom_rest_native,fnirs,bikom,rest,age_only,1017,1,1,0
fnirs_bikom_rest_native,fnirs,bikom,rest,sex_only,1017,1,0,1
fnirs_bikom_rest_native,fnirs,bikom,rest,grade_only,1017,1,0,1
fnirs_bikom_rest_native,fnirs,bikom,rest,grade_group_only,1017,1,0,1
fnirs_bikom_rest_native,fnirs,bikom,rest,age_sex,1017,2,1,1
fnirs_bikom_rest_native,fnirs,bikom,rest,age_grade,1017,2,1,1
fnirs_bikom_rest_native,fnirs,bikom,rest,sex_grade,1017,2,0,2
fnirs_bikom_rest_native,fnirs,bikom,rest,age_sex_grade,1017,3,1,2
fnirs_bikom_rest_native,fnirs,bikom,rest,age_sex_grade_group,1017,4,1,3
fnirs_bikom_rest_native,fnirs,bikom,rest,group_proxy_only,1017,4,0,4
fnirs_bikom_rest_native,fnirs,bikom,rest,fnirs_device_only,1017,1,0,1
fnirs_bikom_rest_native,fnirs,bikom,rest,demographics_group,1017,7,1,6
fnirs_bikom_rest_native,fnirs,bikom,rest,demographics_group_device,1017,8,1,7
fnirs_bikom_vft_native,fnirs,bikom,vft,no_information,1022,0,0,0
fnirs_bikom_vft_native,fnirs,bikom,vft,demographics,1022,3,1,2
fnirs_bikom_vft_native,fnirs,bikom,vft,qc,1022,23,23,0
fnirs_bikom_vft_native,fnirs,bikom,vft,qc_demographics,1022,26,24,2
fnirs_bikom_vft_native,fnirs,bikom,vft,signal,1022,380,380,0
fnirs_bikom_vft_native,fnirs,bikom,vft,signal_qc,1022,403,403,0
fnirs_bikom_vft_native,fnirs,bikom,vft,signal_demographics,1022,383,381,2
fnirs_bikom_vft_native,fnirs,bikom,vft,signal_qc_demographics,1022,406,404,2
fnirs_bikom_vft_native,fnirs,bikom,vft,age_only,1022,1,1,0
fnirs_bikom_vft_native,fnirs,bikom,vft,sex_only,1022,1,0,1
fnirs_bikom_vft_native,fnirs,bikom,vft,grade_only,1022,1,0,1
fnirs_bikom_vft_native,fnirs,bikom,vft,grade_group_only,1022,1,0,1
fnirs_bikom_vft_native,fnirs,bikom,vft,age_sex,1022,2,1,1
fnirs_bikom_vft_native,fnirs,bikom,vft,age_grade,1022,2,1,1
fnirs_bikom_vft_native,fnirs,bikom,vft,sex_grade,1022,2,0,2
fnirs_bikom_vft_native,fnirs,bikom,vft,age_sex_grade,1022,3,1,2
fnirs_bikom_vft_native,fnirs,bikom,vft,age_sex_grade_group,1022,4,1,3
fnirs_bikom_vft_native,fnirs,bikom,vft,group_proxy_only,1022,4,0,4
fnirs_bikom_vft_native,fnirs,bikom,vft,fnirs_device_only,1022,1,0,1
fnirs_bikom_vft_native,fnirs,bikom,vft,demographics_group,1022,7,1,6
fnirs_bikom_vft_native,fnirs,bikom,vft,demographics_group_device,1022,8,1,7
fnirs_bikom_1back_native,fnirs,bikom,1back,no_information,985,0,0,0
fnirs_bikom_1back_native,fnirs,bikom,1back,demographics,985,3,1,2
fnirs_bikom_1back_native,fnirs,bikom,1back,qc,985,22,22,0
fnirs_bikom_1back_native,fnirs,bikom,1back,qc_demographics,985,25,23,2
fnirs_bikom_1back_native,fnirs,bikom,1back,signal,985,380,380,0
fnirs_bikom_1back_native,fnirs,bikom,1back,signal_qc,985,402,402,0
