cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate,auroc_fold_mean,auroc_fold_std,auprc_fold_mean,auprc_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,macro_f1_fold_mean,macro_f1_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,accuracy_fold_mean,accuracy_fold_std,brier_score_fold_mean,brier_score_fold_std,ece_fold_mean,ece_fold_std,positive_prediction_rate_fold_mean,positive_prediction_rate_fold_std
standard_cv,eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,fixed_0_5,0.5,1154,338,816,0.48638726940480337,0.2806534339889877,0.4857944657152802,0.4756462373832925,0.42011834319526625,0.5514705882352942,0.512998266897747,0.2543336222615837,0.19096383020822622,0.44020797227036396,0.48369051649718403,0.04378393394876745,0.2909379776858229,0.053989743277211406,0.48385121812313264,0.040004116700480076,0.47364992814302653,0.03626905217545016,0.4156873174639292,0.08534782370369089,0.5520151187823362,0.03279406607052197,0.5130061682951061,0.024535140460102883,0.2543362609472706,0.005067501336720169,0.1912755783615426,0.01906033260368766,0.43972826332058956,0.03931266302152978
standard_cv,eeg_1back_native,eeg,,1back,qc,hist_gradient_boosting,20260707,inner_cv,,1154,338,816,0.48638726940480337,0.2806534339889877,0.4879553892562942,0.4661033468057275,0.4881656804733728,0.4877450980392157,0.4878682842287695,0.2543336222615837,0.19096383020822622,0.5051993067590987,0.48369051649718403,0.04378393394876745,0.2909379776858229,0.053989743277211406,0.49163458196450227,0.02962488697080002,0.45410793640449015,0.03959046550721902,0.4934288313223846,0.17889833208267522,0.48984033260661997,0.19218285717462683,0.4875179435533223,0.08296313291328654,0.2543362609472706,0.005067501336720169,0.1912755783615426,0.01906033260368766,0.5056035833321156,0.18650405616999233
standard_cv,eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,fixed_0_5,0.5,1154,338,816,0.5396471458405847,0.32602243101280304,0.5330882352941176,0.515564663001749,0.5,0.5661764705882353,0.5467937608318891,0.24970020688825947,0.2064566913911339,0.4532062391681109,0.5431880783925276,0.02691842293768044,0.34265509645391296,0.034984589577573,0.5334152666036228,0.023033493193567595,0.5149027286040747,0.015562716609396897,0.5009876160325935,0.048115126394952974,0.5658429171746523,0.020717820040809725,0.5467526235078507,0.01768765373252917,0.24970082587066117,0.0021918884153054197,0.20662493657591724,0.026516960037582256,0.45320849702749266,0.02355921798370031
standard_cv,eeg_1back_native,eeg,,1back,qc,logistic_regression,20260707,inner_cv,,1154,338,816,0.5396471458405847,0.32602243101280304,0.5222328576400974,0.49054014106963706,0.5591715976331361,0.4852941176470588,0.5069324090121318,0.24970020688825947,0.2064566913911339,0.5277296360485269,0.5431880783925276,0.02691842293768044,0.34265509645391296,0.034984589577573,0.5216600331092589,0.02279344771442837,0.4762481103666543,0.07773013013379965,0.5589586305253471,0.16860285014631424,0.4843614356931708,0.19229766281016966,0.5069257836810109,0.08666563335140508,0.24970082587066117,0.0021918884153054197,0.20662493657591724,0.026516960037582256,0.5276673714863671,0.18483871721861894
standard_cv,eeg_1back_native,eeg,,1back,qc,random_forest,20260707,fixed_0_5,0.5,1154,338,816,0.49395594036431145,0.28786724695273197,0.4863564508643694,0.48570356296765416,0.31952662721893493,0.6531862745098039,0.5554592720970537,0.24327102035108128,0.17018913171683944,0.33882149046793764,0.4924233848495626,0.050712661564252984,0.2972502119259527,0.054151907441949615,0.4843267276869012,0.046738519206711536,0.483628739286185,0.04509960964861903,0.315079210221639,0.08018719307811488,0.6535742451521634,0.03772623529945813,0.5551820103210365,0.03259061559337213,0.24331773119089212,0.004778411621667546,0.17200633421543926,0.028057133855424833,0.3386303166168839,0.03352922700194004
standard_cv,eeg_1back_native,eeg,,1back,qc,random_forest,20260707,inner_cv,,1154,338,816,0.49395594036431145,0.28786724695273197,0.48979362455041187,0.46822777072459676,0.4881656804733728,0.49142156862745096,0.4904679376083189,0.24327102035108128,0.17018913171683944,0.5025996533795494,0.4924233848495626,0.050712661564252984,0.2972502119259527,0.054151907441949615,0.49600995915287543,0.02863590434104186,0.4195648454272257,0.0958726327165301,0.49884828202669274,0.31838938297521757,0.49317163627905813,0.3503183850104137,0.48920417867062393,0.1485519042511974,0.24331773119089212,0.004778411621667546,0.17200633421543926,0.028057133855424833,0.505238018702886,0.3399684022349686
standard_cv,eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,fixed_0_5,0.5,1827,611,1216,0.46865914915152035,0.31279761980525894,0.4747387533379275,0.47047825318246117,0.40589198036006546,0.5435855263157895,0.4975369458128079,0.25496564785739717,0.16784889165262432,0.4395183360700602,0.46489750547860337,0.020457141937851107,0.31968112763915524,0.024483528335360227,0.4758046531531906,0.029177348379670124,0.4681267575904074,0.031083652840037227,0.40746464345296357,0.08160684521730197,0.5441446628534174,0.09023729912218967,0.4973673330051291,0.04125311250625241,0.2549598215854836,0.0013283158906625804,0.16964051662070154,0.017004971485031425,0.4398751347475975,0.08370973240866347
standard_cv,eeg_oddball_native,eeg,,oddball,qc,hist_gradient_boosting,20260707,inner_cv,,1827,611,1216,0.46865914915152035,0.31279761980525894,0.4934991170643466,0.44636844867517567,0.6350245499181669,0.3519736842105263,0.4466338259441708,0.25496564785739717,0.16784889165262432,0.6436781609195402,0.46489750547860337,0.020457141937851107,0.31968112763915524,0.024483528335360227,0.4908931700245199,0.014828708757832485,0.35703386465718584,0.09627940883070575,0.6324070802713397,0.4397471451297288,0.3493792597777,0.4129714551378402,0.4464048473899148,0.13133723246658954,0.2549598215854836,0.0013283158906625804,0.16964051662070154,0.017004971485031425,0.6445612267186532,0.42178241334288646
standard_cv,eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,fixed_0_5,0.5,1827,611,1216,0.500728152726333,0.3362320377236232,0.49841381148247055,0.48779915335931934,0.4762684124386252,0.5205592105263158,0.5057471264367817,0.25054051397863314,0.16543565903016225,0.4783798576902025,0.5023719649860154,0.02537445153213818,0.3447049903446121,0.013939582966677865,0.4987570752778566,0.013423148025203247,0.4872669768098854,0.013679089189929456,0.4769178822723784,0.04090750266033183,0.5205962682833347,0.04502439700741329,0.505780313853655,0.020438489181192024,0.2505374408544281,0.001192474294677462,0.1655806666091336,0.010187183576452851,0.47837318422655456,0.04166176925396862
standard_cv,eeg_oddball_native,eeg,,oddball,qc,logistic_regression,20260707,inner_cv,,1827,611,1216,0.500728152726333,0.3362320377236232,0.49449174670514257,0.49194592511720514,0.3993453355155483,0.5896381578947368,0.5259989053092501,0.25054051397863314,0.16543565903016225,0.4066776135741653,0.5023719649860154,0.02537445153213818,0.3447049903446121,0.013939582966677865,0.4925526309373266,0.009127727384463045,0.3989458675305858,0.0918143274546034,0.39538934426229505,0.4172309918590944,0.5897159176123582,0.415417999889686,0.5265088647259601,0.14121355654085954,0.2505374408544281,0.001192474294677462,0.1655806666091336,0.010187183576452851,0.405234173238445,0.41584364959727166
