cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate,auroc_fold_mean,auroc_fold_std,auprc_fold_mean,auprc_fold_std,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,macro_f1_fold_mean,macro_f1_fold_std,sensitivity_fold_mean,sensitivity_fold_std,specificity_fold_mean,specificity_fold_std,accuracy_fold_mean,accuracy_fold_std,brier_score_fold_mean,brier_score_fold_std,ece_fold_mean,ece_fold_std,positive_prediction_rate_fold_mean,positive_prediction_rate_fold_std
standard_cv,eeg_1back_native,eeg,,1back,demographics_group_device,logistic_regression,20260707,fixed_0_5,0.5,1154,338,816,0.6396369938507949,0.38954938231868247,0.5925317612252001,0.5678405177080035,0.5857988165680473,0.5992647058823529,0.5953206239168111,0.2350366641654969,0.19147295788796082,0.45493934142114384,0.6381950029618133,0.031816812287787745,0.40310286033885684,0.06270394245545743,0.5895560365688036,0.0323868779569451,0.565255201858149,0.029657304543046135,0.5803912596716195,0.08224325370838745,0.5987208134659878,0.035783470074036886,0.5951518398463426,0.01885243733423142,0.2351036046699559,0.007009249881499034,0.19287086499623207,0.022330751096768815,0.4549978965467883,0.04692809746663407
standard_cv,eeg_1back_native,eeg,,1back,demographics_group_device,logistic_regression,20260707,inner_cv,,1154,338,816,0.6396369938507949,0.38954938231868247,0.6035249158835132,0.564608920415533,0.6568047337278107,0.5502450980392157,0.5814558058925476,0.2350366641654969,0.19147295788796082,0.5103986135181976,0.6381950029618133,0.031816812287787745,0.40310286033885684,0.06270394245545743,0.6020668827604417,0.01919533763383843,0.5595039747602504,0.029593300734684105,0.6536657710645717,0.1303069797180961,0.5504679944563119,0.11406235345907492,0.5814316359995565,0.04465296874258118,0.2351036046699559,0.007009249881499034,0.19287086499623207,0.022330751096768815,0.5099161171997365,0.11876345074087524
standard_cv,eeg_1back_native,eeg,,1back,demographics_group,logistic_regression,20260707,fixed_0_5,0.5,1154,338,816,0.6391221429400163,0.3878733051456824,0.5983437753799745,0.5709270447357251,0.6035502958579881,0.5931372549019608,0.5961871750433275,0.23524652421829428,0.19109375226902856,0.464471403812825,0.6391144941309321,0.034320222413750816,0.4070789127215761,0.07118869956786202,0.5955637724828325,0.03299069240424453,0.5686552712784435,0.030638660981931572,0.5984757101698631,0.07707191866811153,0.5926518347958021,0.033771853578037477,0.5960829672030182,0.021040814831062574,0.2353141195384429,0.007145623657588833,0.19282454365063934,0.01866892939331104,0.46449116156432996,0.04281394642999094
standard_cv,eeg_1back_native,eeg,,1back,demographics_group,logistic_regression,20260707,inner_cv,,1154,338,816,0.6391221429400163,0.3878733051456824,0.5908675600417681,0.55218200349719,0.6449704142011834,0.5367647058823529,0.5684575389948007,0.23524652421829428,0.19109375226902856,0.5164644714038128,0.6391144941309321,0.034320222413750816,0.4070789127215761,0.07118869956786202,0.5901278607654502,0.033373841263736104,0.5431839373787878,0.07559606770817172,0.6442028466016472,0.12790948013021536,0.5360528749292531,0.18381297802711505,0.5681928862694591,0.08986685305205148,0.2353141195384429,0.007145623657588833,0.19282454365063934,0.01866892939331104,0.5168043556166543,0.16612357492058977
standard_cv,eeg_1back_native,eeg,,1back,demographics_group,random_forest,20260707,fixed_0_5,0.5,1154,338,816,0.6360566045945005,0.38757553724189847,0.5877349460494257,0.5634169488047605,0.5798816568047337,0.5955882352941176,0.5909878682842288,0.2312447420523384,0.1783175523689898,0.4558058925476603,0.6377844855379677,0.02342131598894657,0.40203927946952966,0.060703313449874445,0.584947298800128,0.029811540747344236,0.5600976939279164,0.021086801620136167,0.5751596464415055,0.10163453093197548,0.5947349511587503,0.049997283124881144,0.5909075108681578,0.013064291814332885,0.23130216290068178,0.005669084403952776,0.17935228710107948,0.023202114094857892,0.4558538359668298,0.0664571866261159
standard_cv,eeg_oddball_native,eeg,,oddball,demographics_group_device,random_forest,20260707,fixed_0_5,0.5,1827,611,1216,0.6443848791885606,0.43989202617904866,0.6037045611163753,0.5820722969821257,0.6317512274959084,0.5756578947368421,0.5944170771756979,0.23203416942531757,0.14678591583258868,0.49370552818828684,0.647367361880392,0.021340229383288566,0.4511760138331306,0.03614496327007464,0.6037997591475867,0.00832952202248401,0.5811733818212594,0.006664811121037485,0.632124046932951,0.05943030096781809,0.5754754713622224,0.04829457705163718,0.5943877143567701,0.013414445996780374,0.23205401135175502,0.005257391519141058,0.1493774127449884,0.015565874395047708,0.49386959725540747,0.05173684621662534
standard_cv,eeg_oddball_native,eeg,,oddball,demographics_group_device,random_forest,20260707,inner_cv,,1827,611,1216,0.6443848791885606,0.43989202617904866,0.5926106630631407,0.5696655678827088,0.6284779050736498,0.5567434210526315,0.5807334428024084,0.23203416942531757,0.14678591583258868,0.50519978106185,0.647367361880392,0.021340229383288566,0.4511760138331306,0.03614496327007464,0.593253505916514,0.014921734476544329,0.5619618277239383,0.05029331723874308,0.6303053993919674,0.14364216340124025,0.5562016124410606,0.15967608549237478,0.5804497904471443,0.058276634783331595,0.23205401135175502,0.005257391519141058,0.1493774127449884,0.015565874395047708,0.505995845589714,0.15351425129736643
standard_cv,eeg_oddball_native,eeg,,oddball,demographics_group,random_forest,20260707,fixed_0_5,0.5,1827,611,1216,0.6433639848393489,0.44165100885092584,0.600818196011715,0.5780376974546458,0.6350245499181669,0.5666118421052632,0.5894909688013136,0.23219008402917599,0.14625222448337272,0.5008210180623974,0.6467751402474498,0.020260881859361552,0.45217219360185235,0.02985048969117067,0.6008149967012981,0.006157186372897069,0.5770778695025303,0.010105610199468153,0.63527000837596,0.05636275796005436,0.5663599850266363,0.05168223505718578,0.589455862196729,0.01618250023445896,0.2322088861660717,0.00521950315167197,0.1467524536158086,0.01301741360989588,0.501023371774819,0.053186085357838433
standard_cv,eeg_oddball_native,eeg,,oddball,demographics_group,random_forest,20260707,inner_cv,,1827,611,1216,0.6433639848393489,0.44165100885092584,0.5860276778792316,0.5615674380672374,0.630114566284779,0.5419407894736842,0.5714285714285714,0.23219008402917599,0.14625222448337272,0.5155993431855501,0.6467751402474498,0.020260881859361552,0.45217219360185235,0.02985048969117067,0.5856222404704572,0.01938955074984558,0.5519056747220177,0.052514644570575884,0.6303519755890747,0.16016932776745552,0.5408925053518395,0.1667746877339543,0.5711967942169067,0.05960724332506604,0.2322088861660717,0.00521950315167197,0.1467524536158086,0.01301741360989588,0.516327839706599,0.16377234017361136
standard_cv,eeg_oddball_native,eeg,,oddball,demographics_group_device,logistic_regression,20260707,fixed_0_5,0.5,1827,611,1216,0.6424648979240244,0.4307606689634225,0.6049583028253941,0.5850949823481391,0.6235679214402619,0.5863486842105263,0.5987958401751505,0.23500217947475677,0.15425211075845616,0.4838533114395183,0.6435080566550039,0.014611880194131052,0.44174863515146046,0.03071017043751034,0.6047479437174867,0.013404360975456405,0.5846263943978809,0.017987031331339005,0.6231693242243332,0.030950437670469625,0.5863265632106403,0.04064766747498051,0.598755173385181,0.020472254999913484,0.23502740281618872,0.004807152313273753,0.1563560313723305,0.01801020873046389,0.4838967203199003,0.035745061106705174
