cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,auroc,0.4445182122255795,0.5378049001321265,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,auprc,0.3003606916848271,0.39523659049612975,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,brier_score,0.24686918727340704,0.2584367213666525,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,ece,0.10961347167510047,0.17785944060520026,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,balanced_accuracy,0.44897888236749606,0.5280189276389988,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,macro_f1,0.4484884469458265,0.5241409889634833,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,sensitivity,0.31779160907834436,0.44551042431524374,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,specificity,0.5437589924307191,0.6361752045751832,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,accuracy,0.4826021180030257,0.5597579425113465,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,fixed_0_5,positive_prediction_rate,0.36459909228441756,0.44027987897125564,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,inner_cv,auroc,0.4445182122255795,0.5378049001321265,1000
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,age_grade,hist_gradient_boosting,20260707,inner_cv,auprc,0.3003606916848271,0.39523659049612975,1000
