L_id,task,status,reason,duration_sec,n_events,n_constructed,n_kept,construction_drops,n_trials_code_11,n_trials_code_22
L3093,oddball,ok,,639.0,147,147,139,0,117,22
L3097,oddball,ok,,638.0,148,148,145,0,121,24
L3100,oddball,ok,,645.0,146,146,143,0,119,24
L311,oddball,ok,,670.0,124,124,122,0,102,20
L3116,oddball,ok,,640.0,146,146,105,0,85,20
L312,oddball,ok,,642.0,146,146,142,0,117,25
L3125,oddball,ok,,611.0,144,144,111,0,93,18
L3126,oddball,ok,,638.0,149,149,140,0,116,24
L3127,oddball,ok,,629.0,148,148,140,0,116,24
L3134,oddball,ok,,638.0,148,148,146,0,121,25
L3141,oddball,ok,,639.0,148,148,137,0,114,23
L315,oddball,ok,,643.0,143,143,137,0,117,20
L3168,oddball,ok,,688.0,120,120,117,0,97,20
L317,oddball,ok,,656.0,143,143,138,0,115,23
L3173,oddball,ok,,638.0,148,148,144,0,119,25
L3194,oddball,ok,,646.0,143,143,76,0,61,15
L3199,oddball,ok,,670.0,147,147,144,0,119,25
L3238,oddball,ok,,644.0,150,150,76,0,66,10
L327,oddball,ok,,636.0,150,150,141,0,118,23
L332,oddball,ok,,641.0,147,147,134,0,114,20
L337,oddball,ok,,640.0,147,147,126,0,103,23
L3422,oddball,ok,,649.0,147,147,130,0,106,24
L3425,oddball,ok,,635.0,147,147,147,0,122,25
L3429,oddball,ok,,638.0,148,148,142,0,119,23
L3431,oddball,ok,,641.0,148,148,143,0,118,25
L3433,oddball,ok,,641.0,147,147,111,0,96,15
L3436,oddball,ok,,643.0,146,146,140,0,118,22
L3441,oddball,ok,,642.0,148,148,133,0,113,20
L345,oddball,ok,,642.0,146,146,127,0,104,23
L3452,oddball,ok,,641.0,148,148,117,0,106,11
L3467,oddball,ok,,674.0,148,148,119,0,98,21
L3487,oddball,ok,,647.0,149,149,148,0,125,23
L3488,oddball,ok,,650.0,147,147,135,0,113,22
L3492,oddball,ok,,639.0,148,148,146,0,121,25
L3499,oddball,ok,,680.0,147,147,125,0,102,23
L3500,oddball,ok,,644.0,147,147,135,0,114,21
L3506,oddball,ok,,679.0,120,120,119,0,99,20
L3528,oddball,ok,,635.0,148,148,117,0,98,19
L3531,oddball,ok,,658.0,148,148,144,0,120,24
L3535,oddball,ok,,662.0,149,149,144,0,120,24
L3544,oddball,ok,,689.0,146,146,132,0,109,23
L3557,oddball,ok,,651.0,150,150,150,0,125,25
L3559,oddball,ok,,631.0,150,150,149,0,124,25
L3569,oddball,ok,,636.0,149,149,147,0,123,24
L3577,oddball,ok,,645.0,146,146,144,0,119,25
L3582,oddball,ok,,636.0,149,149,149,0,124,25
L359,oddball,ok,,640.0,148,148,131,0,110,21
L3602,oddball,ok,,641.0,148,148,140,0,116,24
L3614,oddball,ok,,640.0,147,147,147,0,122,25
L3617,oddball,ok,,640.0,146,146,146,0,121,25
L3620,oddball,ok,,638.0,148,148,146,0,121,25
L3626,oddball,ok,,672.0,148,148,77,0,62,15
L3628,oddball,ok,,643.0,145,145,140,0,116,24
L3631,oddball,ok,,650.0,150,150,140,0,116,24
L3634,oddball,ok,,638.0,150,150,147,0,122,25
L3642,oddball,ok,,676.0,143,143,141,0,118,23
L3649,oddball,ok,,638.0,149,149,138,0,113,25
L3653,oddball,ok,,639.0,148,148,148,0,125,23
L3665,oddball,ok,,740.0,147,147,145,0,121,24
L3666,oddball,ok,,799.0,148,148,148,0,123,25
L3668,oddball,ok,,745.0,150,150,150,0,125,25
L3669,oddball,ok,,649.0,150,150,136,0,113,23
L3673,oddball,ok,,637.0,149,149,148,0,124,24
L3679,oddball,ok,,638.0,148,148,148,0,123,25
L3689,oddball,ok,,637.0,148,148,147,0,122,25
L3690,oddball,ok,,639.0,149,149,149,0,125,24
L3692,oddball,ok,,649.0,137,137,118,0,99,19
L3693,oddball,ok,,637.0,148,148,148,0,123,25
L3697,oddball,ok,,640.0,150,150,150,0,125,25
L3704,oddball,ok,,662.0,124,124,119,0,99,20
L3705,oddball,ok,,635.0,149,149,141,0,118,23
L3718,oddball,ok,,642.0,147,147,137,0,113,24
L3721,oddball,ok,,662.0,148,148,133,0,113,20
L3754,oddball,ok,,640.0,148,148,147,0,122,25
L3755,oddball,ok,,640.0,149,149,149,0,124,25
L38,oddball,ok,,647.0,145,145,133,0,109,24
L3942,oddball,ok,,661.0,147,147,111,0,91,20
L3943,oddball,ok,,636.0,150,150,149,0,124,25
L3948,oddball,ok,,637.0,150,150,129,0,106,23
L3960,oddball,ok,,861.0,30,30,27,0,22,5
L3982,oddball,ok,,641.0,148,148,96,0,79,17
L4024,oddball,ok,,642.0,146,146,110,0,90,20
L4033,oddball,ok,,860.0,180,180,127,0,106,21
L4057,oddball,ok,,636.0,147,147,115,0,96,19
L4063,oddball,ok,,635.0,150,150,141,0,117,24
L4079,oddball,ok,,642.0,148,148,141,0,118,23
L4084,oddball,ok,,637.0,148,148,121,0,99,22
L4086,oddball,ok,,638.0,148,148,139,0,115,24
L4087,oddball,ok,,642.0,150,150,128,0,108,20
L4095,oddball,ok,,640.0,150,150,125,0,103,22
L4110,oddball,ok,,663.0,148,148,64,0,49,15
L4113,oddball,ok,,640.0,146,146,103,0,84,19
L416,oddball,ok,,676.0,120,120,119,0,99,20
L4191,oddball,ok,,668.0,147,147,133,0,110,23
L4211,oddball,ok,,671.0,149,149,149,0,124,25
L4243,oddball,ok,,633.0,150,150,142,0,118,24
L4254,oddball,ok,,637.0,149,149,145,0,122,23
L4281,oddball,ok,,655.0,150,150,140,0,117,23
L4283,oddball,ok,,639.0,148,148,122,0,100,22
L4290,oddball,ok,,647.0,149,149,132,0,112,20
L4300,oddball,ok,,654.0,148,148,132,0,109,23
L4301,oddball,ok,,639.0,149,149,148,0,123,25
L4302,oddball,ok,,769.0,149,149,148,0,123,25
L4303,oddball,ok,,655.0,140,140,128,0,107,21
L4310,oddball,ok,,652.0,139,139,129,0,108,21
L432,oddball,ok,,638.0,147,147,92,0,74,18
L4331,oddball,ok,,673.0,143,143,142,0,118,24
L434,oddball,ok,,665.0,147,147,137,0,116,21
L4340,oddball,ok,,680.0,120,120,58,0,44,14
L4346,oddball,ok,,648.0,141,141,130,0,108,22
L4349,oddball,ok,,633.0,150,150,150,0,125,25
L4361,oddball,ok,,646.0,133,133,133,0,113,20
L4368,oddball,ok,,653.0,115,115,98,0,83,15
L4370,oddball,ok,,636.0,150,150,132,0,109,23
L4389,oddball,ok,,640.0,149,149,137,0,115,22
L4391,oddball,ok,,690.0,120,120,109,0,89,20
L4403,oddball,ok,,638.0,150,150,148,0,123,25
L4417,oddball,ok,,634.0,137,137,126,0,105,21
L4423,oddball,ok,,667.0,134,134,122,0,103,19
L4425,oddball,ok,,678.0,139,139,119,0,98,21
L4433,oddball,ok,,640.0,148,148,146,0,121,25
L4435,oddball,ok,,689.0,133,133,126,0,105,21
L444,oddball,ok,,687.0,120,120,38,0,32,6
L4443,oddball,ok,,705.0,150,150,142,0,119,23
L4447,oddball,ok,,642.0,144,144,139,0,116,23
L4450,oddball,ok,,638.0,150,150,109,0,91,18
L4460,oddball,ok,,636.0,150,150,145,0,120,25
L4471,oddball,ok,,632.0,150,150,145,0,121,24
L4474,oddball,ok,,655.0,148,148,147,0,122,25
L4488,oddball,ok,,639.0,148,148,142,0,117,25
L449,oddball,ok,,636.0,149,149,143,0,118,25
L4497,oddball,ok,,641.0,147,147,143,0,120,23
L4505,oddball,ok,,705.0,147,147,139,0,116,23
L4514,oddball,ok,,641.0,126,126,117,0,99,18
L4516,oddball,ok,,641.0,148,148,134,0,113,21
L4521,oddball,ok,,636.0,150,150,136,0,114,22
L4523,oddball,ok,,652.0,141,141,136,0,113,23
L4533,oddball,ok,,642.0,149,149,136,0,113,23
L4547,oddball,ok,,644.0,148,148,148,0,124,24
L4562,oddball,ok,,646.0,147,147,147,0,122,25
L4565,oddball,ok,,641.0,146,146,130,0,108,22
L4583,oddball,ok,,640.0,148,148,145,0,121,24
L4586,oddball,ok,,639.0,149,149,143,0,118,25
L465,oddball,ok,,646.0,144,144,132,0,112,20
L466,oddball,ok,,638.0,149,149,143,0,119,24
L467,oddball,ok,,641.0,146,146,145,0,120,25
L479,oddball,ok,,653.0,148,148,129,0,106,23
L480,oddball,ok,,643.0,144,144,144,0,122,22
L500,oddball,ok,,633.0,150,150,124,0,101,23
L503,oddball,ok,,640.0,147,147,137,0,114,23
L511,oddball,ok,,691.0,149,149,130,0,106,24
L512,oddball,ok,,642.0,145,145,78,0,65,13
L516,oddball,ok,,645.0,141,141,140,0,116,24
L517,oddball,ok,,640.0,149,149,105,0,94,11
L525,oddball,ok,,643.0,149,149,145,0,120,25
L527,oddball,ok,,643.0,145,145,85,0,71,14
L53,oddball,ok,,640.0,149,149,93,0,78,15
L534,oddball,ok,,634.0,149,149,133,0,110,23
L535,oddball,ok,,641.0,146,146,122,0,104,18
L537,oddball,ok,,632.0,149,149,135,0,112,23
L540,oddball,ok,,657.0,150,150,133,0,111,22
L547,oddball,ok,,641.0,147,147,141,0,117,24
L549,oddball,ok,,638.0,148,148,125,0,104,21
L56,oddball,ok,,650.0,150,150,145,0,123,22
L574,oddball,ok,,643.0,147,147,145,0,122,23
L576,oddball,ok,,716.0,150,150,145,0,121,24
L584,oddball,ok,,635.0,150,150,101,0,83,18
L589,oddball,ok,,638.0,149,149,109,0,90,19
L59,oddball,ok,,632.0,150,150,138,0,114,24
L591,oddball,ok,,636.0,150,150,150,0,125,25
L601,oddball,ok,,634.0,150,150,101,0,85,16
L611,oddball,ok,,636.0,149,149,139,0,115,24
L617,oddball,ok,,636.0,150,150,141,0,117,24
L620,oddball,ok,,650.0,144,144,136,0,114,22
L621,oddball,ok,,649.0,148,148,86,0,71,15
L625,oddball,ok,,640.0,149,149,133,0,110,23
L632,oddball,ok,,640.0,150,150,146,0,121,25
L638,oddball,ok,,643.0,147,147,144,0,119,25
L65,oddball,ok,,638.0,150,150,139,0,117,22
L66,oddball,ok,,646.0,148,148,145,0,121,24
L675,oddball,ok,,647.0,142,142,115,0,98,17
L682,oddball,ok,,682.0,142,142,133,0,109,24
L702,oddball,ok,,644.0,145,145,123,0,104,19
L703,oddball,ok,,638.0,149,149,56,0,43,13
L710,oddball,ok,,641.0,145,145,145,0,122,23
L718,oddball,ok,,639.0,150,150,144,0,121,23
L730,oddball,ok,,642.0,144,144,144,0,120,24
L74,oddball,ok,,644.0,146,146,128,0,105,23
L750,oddball,ok,,646.0,145,145,144,0,121,23
L755,oddball,ok,,639.0,146,146,142,0,117,25
L76,oddball,ok,,694.0,148,148,143,0,119,24
L761,oddball,ok,,652.0,147,147,141,0,116,25
L768,oddball,ok,,652.0,147,147,143,0,120,23
L773,oddball,ok,,642.0,148,148,142,0,118,24
L793,oddball,ok,,637.0,149,149,141,0,116,25
L806,oddball,ok,,649.0,143,143,137,0,113,24
L818,oddball,ok,,637.0,149,149,79,0,64,15
L826,oddball,ok,,640.0,147,147,87,0,73,14
L839,oddball,ok,,636.0,148,148,148,0,124,24
L84,oddball,ok,,643.0,149,149,106,0,88,18
L849,oddball,ok,,645.0,147,147,104,0,87,17
L85,oddball,ok,,643.0,150,150,150,0,125,25
L852,oddball,ok,,641.0,144,144,77,0,65,12
L857,oddball,ok,,641.0,147,147,133,0,113,20
L858,oddball,ok,,642.0,147,147,135,0,113,22
L87,oddball,ok,,649.0,146,146,125,0,104,21
L88,oddball,ok,,639.0,149,149,125,0,102,23
L97,oddball,ok,,639.0,149,149,145,0,121,24
