L_id,task,status,reason,duration_sec,n_events,n_constructed,n_kept,construction_drops,n_trials_code_11,n_trials_code_22
L298,oddball,ok,,638.0,148,148,115,0,96,19
L2980,oddball,ok,,662.0,143,143,123,0,101,22
L2985,oddball,ok,,645.0,146,146,132,0,111,21
L2987,oddball,ok,,646.0,145,145,139,0,115,24
L30,oddball,ok,,635.0,148,148,147,0,123,24
L3002,oddball,ok,,640.0,147,147,114,0,98,16
L3027,oddball,ok,,641.0,147,147,125,0,103,22
L3056,oddball,ok,,636.0,149,149,145,0,121,24
L3068,oddball,ok,,644.0,148,148,121,0,101,20
L3080,oddball,ok,,641.0,147,147,145,0,120,25
L3085,oddball,ok,,638.0,148,148,146,0,121,25
L3087,oddball,ok,,639.0,148,148,140,0,116,24
L309,oddball,ok,,638.0,148,148,73,0,56,17
L3090,oddball,ok,,641.0,147,147,145,0,120,25
L3091,oddball,ok,,638.0,149,149,76,0,63,13
L3096,oddball,ok,,639.0,147,147,129,0,109,20
L3108,oddball,ok,,641.0,147,147,107,0,90,17
L3109,oddball,ok,,723.0,148,148,111,0,92,19
L3115,oddball,ok,,640.0,147,147,140,0,118,22
L3121,oddball,ok,,644.0,144,144,131,0,109,22
L3128,oddball,ok,,611.0,145,145,144,0,120,24
L3136,oddball,ok,,641.0,147,147,137,0,113,24
L3158,oddball,ok,,645.0,147,147,133,0,111,22
L3172,oddball,ok,,640.0,147,147,145,0,120,25
L3179,oddball,ok,,702.0,143,143,142,0,117,25
L3197,oddball,ok,,678.0,148,148,139,0,116,23
L3201,oddball,ok,,640.0,148,148,104,0,88,16
L3202,oddball,ok,,641.0,147,147,132,0,108,24
L3203,oddball,ok,,641.0,147,147,140,0,119,21
L3208,oddball,ok,,648.0,149,149,147,0,123,24
L3211,oddball,ok,,642.0,146,146,141,0,117,24
L3237,oddball,ok,,639.0,148,148,109,0,92,17
L331,oddball,ok,,648.0,145,145,132,0,111,21
L333,oddball,ok,,636.0,149,149,132,0,111,21
L3407,oddball,ok,,648.0,147,147,141,0,118,23
L3426,oddball,ok,,643.0,146,146,144,0,120,24
