cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,outer_fold,n_subjects,selected_threshold_per_fold,predicted_positive_rate,threshold_source
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,0,98,0.55,0.3979591836734694,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,1,70,0.65,0.014285714285714285,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,2,66,0.5,0.3181818181818182,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,3,69,0.55,0.2898550724637681,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,4,17,0.2,1.0,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,0,98,0.45,0.8673469387755102,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,1,70,0.2,1.0,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,2,66,0.5,0.3787878787878788,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,3,69,0.45,0.4057971014492754,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,4,17,0.2,1.0,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,random_forest,20260909,0,98,0.45,0.6122448979591837,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,random_forest,20260909,1,70,0.35,0.9285714285714286,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,random_forest,20260909,2,66,0.5,0.19696969696969696,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,random_forest,20260909,3,69,0.55,0.2898550724637681,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,random_forest,20260909,4,17,0.7,0.0,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,hist_gradient_boosting,20260909,0,98,0.4,0.7653061224489796,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,hist_gradient_boosting,20260909,1,70,0.45,0.7857142857142857,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,hist_gradient_boosting,20260909,2,66,0.45,0.7272727272727273,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,hist_gradient_boosting,20260909,3,69,0.55,0.11594202898550725,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,hist_gradient_boosting,20260909,4,17,0.45,0.6470588235294118,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,logistic_regression,20260909,0,98,0.6,0.0,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,logistic_regression,20260909,1,70,0.5,0.35714285714285715,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,logistic_regression,20260909,2,66,0.5,0.3181818181818182,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,logistic_regression,20260909,3,69,0.5,0.8115942028985508,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,logistic_regression,20260909,4,17,0.55,0.0,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,random_forest,20260909,0,98,0.4,0.7653061224489796,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,random_forest,20260909,1,70,0.45,0.7857142857142857,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,random_forest,20260909,2,66,0.45,0.7727272727272727,inner_cv_outer_train_only
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,random_forest,20260909,3,69,0.55,0.11594202898550725,inner_cv_outer_train_only
