cohort_name,modality,device,task,feature_set,model,seed,auroc_standard_cv,auprc_standard_cv,balanced_accuracy_standard_cv,macro_f1_standard_cv,auroc_group_cv,auprc_group_cv,balanced_accuracy_group_cv,macro_f1_group_cv,auroc_delta_standard_minus_group,auprc_delta_standard_minus_group,balanced_accuracy_delta_standard_minus_group,macro_f1_delta_standard_minus_group
eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,0.537471345441721,0.38982909194500004,0.5133574325515782,0.5132147742818057,0.4431317228002117,0.2985430061707176,0.46147064009874805,0.4603345925526173,0.09433962264150936,0.09128608577428243,0.05188679245283012,0.0528801817291884
eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,0.5128284253218127,0.34766333393003196,0.5058190795274202,0.42226931983201854,0.4518823840592488,0.3098972971641198,0.45393228707459,0.3899040858827325,0.06094604126256392,0.03776603676591217,0.05188679245283023,0.03236523394928603
eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,random_forest,20260909,0.5433124669370482,0.37026859081120056,0.511946746605537,0.4884778442994867,0.4659451595838477,0.2993977646101979,0.4552988890848175,0.4455190199871051,0.07736730735320047,0.07087082620100266,0.056647857520719436,0.04295882431238163
eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,hist_gradient_boosting,20260909,0.5165094339622641,0.32984872205397503,0.5102274731087991,0.4499785147857338,0.4129783107035796,0.2836705740164814,0.4206048315993652,0.3889003143637806,0.10353112325868452,0.04617814803749365,0.08962264150943394,0.06107820042195322
eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,logistic_regression,20260909,0.5294260271557045,0.34479565737442186,0.5078469405748545,0.45,0.5254143889966496,0.33367734836701496,0.5790865808499384,0.5797720797720798,0.00401163815905492,0.011118309007406901,-0.0712396402750839,-0.12977207977207977
eye_qixin_120_combined_native,eye,qixin_120,combined,age_only,random_forest,20260909,0.5147681184976194,0.3293328148057767,0.49687004055722095,0.36701107529796867,0.4119643801798625,0.2783755473911217,0.42064891553517897,0.38632538843880865,0.10280373831775691,0.050957267414655005,0.07622112502204198,-0.019314313140839978
eye_qixin_120_combined_native,eye,qixin_120,combined,age_sex,hist_gradient_boosting,20260909,0.5501895609239993,0.36878376487078535,0.5016311056251102,0.5014761795818762,0.5163551401869159,0.353774421643459,0.47381414212660905,0.4701109455207816,0.033834420737083426,0.015009343227326333,0.0278169634985011,0.03136523406109459
eye_qixin_120_combined_native,eye,qixin_120,combined,age_sex,logistic_regression,20260909,0.5638114970904603,0.3706535045407715,0.5219097160994534,0.4655780293189831,0.5619379298183743,0.35476850496553686,0.5444806912361135,0.5326367823840018,0.0018735672720859853,0.01588499957523465,-0.022570975136660176,-0.06705875306501868
eye_qixin_120_combined_native,eye,qixin_120,combined,age_sex,random_forest,20260909,0.5424748721565862,0.36625361388270505,0.5024246164697584,0.4847948479484795,0.5096764239111268,0.36339236363216565,0.457503085875507,0.4516747582717964,0.03279844824545941,0.0028612502505394044,0.04492153059425147,0.03312008967668312
eye_qixin_120_combined_native,eye,qixin_120,combined,age_sex_grade,hist_gradient_boosting,20260909,0.5586977605360607,0.3833932108635778,0.5232322341738671,0.5154062490342121,0.455409098924352,0.32402423513189677,0.49938282489860697,0.49862637362637363,0.10328866161170869,0.05936897573168104,0.023849409275260136,0.01677987540783843
