cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,fixed_0_5,4,0.5,47,17,30,0.5784313725490196,0.47149115524493834,0.5352941176470588,0.5320056899004267,0.47058823529411764,0.6,0.5531914893617021,0.2740533953550998,0.17361398612015957,0.425531914893617
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,logistic_regression,20260909,49,inner_cv,4,0.6,47,17,30,0.5784313725490196,0.47149115524493834,0.5264705882352941,0.5262096774193548,0.35294117647058826,0.7,0.574468085106383,0.2740533953550998,0.17361398612015957,0.3191489361702128
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,0,0.5,57,24,33,0.4595959595959596,0.3906936251244678,0.4602272727272727,0.37565922920892497,0.041666666666666664,0.8787878787878788,0.5263157894736842,0.26490363094306324,0.17464109633355318,0.08771929824561403
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,inner_cv,0,0.35,57,24,33,0.4595959595959596,0.3906936251244678,0.5246212121212122,0.5086206896551724,0.625,0.42424242424242425,0.5087719298245614,0.26490363094306324,0.17464109633355318,0.5964912280701754
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,1,0.5,37,6,31,0.564516129032258,0.3123404917522564,0.6021505376344086,0.6021505376344086,0.3333333333333333,0.8709677419354839,0.7837837837837838,0.20601273368376766,0.2645617559649297,0.16216216216216217
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,inner_cv,1,0.7,37,6,31,0.564516129032258,0.3123404917522564,0.5,0.45588235294117646,0.0,1.0,0.8378378378378378,0.20601273368376766,0.2645617559649297,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,2,0.5,54,16,38,0.48848684210526316,0.29753884561074645,0.5016447368421053,0.4934333958724203,0.1875,0.8157894736842105,0.6296296296296297,0.23413707947328832,0.1444908598620226,0.18518518518518517
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,inner_cv,2,0.55,54,16,38,0.48848684210526316,0.29753884561074645,0.4786184210526316,0.43842364532019706,0.0625,0.8947368421052632,0.6481481481481481,0.23413707947328832,0.1444908598620226,0.09259259259259259
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,3,0.5,54,22,32,0.5298295454545454,0.4974721298147785,0.5213068181818181,0.46964285714285714,0.13636363636363635,0.90625,0.5925925925925926,0.24339034835070647,0.09145418385326023,0.1111111111111111
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,inner_cv,3,0.5,54,22,32,0.5298295454545454,0.4974721298147785,0.5213068181818181,0.46964285714285714,0.13636363636363635,0.90625,0.5925925925925926,0.24339034835070647,0.09145418385326023,0.1111111111111111
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,fixed_0_5,4,0.5,47,17,30,0.5568627450980392,0.4831762693594732,0.538235294117647,0.5107164727495407,0.17647058823529413,0.9,0.6382978723404256,0.23358178262170537,0.07873232567979205,0.1276595744680851
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,random_forest,20260909,49,inner_cv,4,0.7,47,17,30,0.5568627450980392,0.4831762693594732,0.5,0.38961038961038963,0.0,1.0,0.6382978723404256,0.23358178262170537,0.07873232567979205,0.0
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,fixed_0_5,0,0.5,57,24,33,0.41666666666666663,0.3881427147525764,0.4071969696969697,0.39682539682539686,0.20833333333333334,0.6060606060606061,0.43859649122807015,0.34243026685829697,0.3257475676183469,0.3157894736842105
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,inner_cv,0,0.35,57,24,33,0.41666666666666663,0.3881427147525764,0.42992424242424243,0.43,0.375,0.48484848484848486,0.43859649122807015,0.34243026685829697,0.3257475676183469,0.45614035087719296
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,fixed_0_5,1,0.5,37,6,31,0.6397849462365591,0.2717546141459185,0.4381720430107527,0.4418103448275862,0.16666666666666666,0.7096774193548387,0.6216216216216216,0.218093450004917,0.29100771790450464,0.2702702702702703
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,inner_cv,1,0.6,37,6,31,0.6397849462365591,0.2717546141459185,0.5510752688172043,0.5572649572649573,0.16666666666666666,0.9354838709677419,0.8108108108108109,0.218093450004917,0.29100771790450464,0.08108108108108109
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,fixed_0_5,2,0.5,54,16,38,0.475328947368421,0.33151382266202695,0.4588815789473684,0.4583333333333333,0.3125,0.6052631578947368,0.5185185185185185,0.2673105273799958,0.2736196168827287,0.37037037037037035
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,inner_cv,2,0.75,54,16,38,0.475328947368421,0.33151382266202695,0.5049342105263157,0.4571259609698403,0.0625,0.9473684210526315,0.6851851851851852,0.2673105273799958,0.2736196168827287,0.05555555555555555
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,fixed_0_5,3,0.5,54,22,32,0.45028409090909083,0.44916852775744687,0.45596590909090906,0.4545454545454546,0.3181818181818182,0.59375,0.48148148148148145,0.2597912066709451,0.1602375241408306,0.37037037037037035
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,inner_cv,3,0.5,54,22,32,0.45028409090909083,0.44916852775744687,0.45596590909090906,0.4545454545454546,0.3181818181818182,0.59375,0.48148148148148145,0.2597912066709451,0.1602375241408306,0.37037037037037035
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,fixed_0_5,4,0.5,47,17,30,0.49215686274509807,0.42990064405919326,0.4754901960784314,0.44047619047619047,0.11764705882352941,0.8333333333333334,0.574468085106383,0.2620522698908385,0.2298194899719481,0.14893617021276595
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,inner_cv,4,0.55,47,17,30,0.49215686274509807,0.42990064405919326,0.5088235294117647,0.46590909090909094,0.11764705882352941,0.9,0.6170212765957447,0.2620522698908385,0.2298194899719481,0.10638297872340426
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,fixed_0_5,0,0.5,57,24,33,0.5921717171717171,0.5455909404889256,0.606060606060606,0.5959938366718027,0.6666666666666666,0.5454545454545454,0.5964912280701754,0.2690116982806226,0.28517727739288723,0.543859649122807
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,inner_cv,0,0.2,57,24,33,0.5921717171717171,0.5455909404889256,0.4943181818181818,0.3197106690777577,0.9583333333333334,0.030303030303030304,0.42105263157894735,0.2690116982806226,0.28517727739288723,0.9649122807017544
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,fixed_0_5,1,0.5,38,7,31,0.41935483870967744,0.1689752946544118,0.4009216589861751,0.391025641025641,0.2857142857142857,0.5161290322580645,0.47368421052631576,0.29892470596224546,0.3248563758840088,0.4473684210526316
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,inner_cv,1,0.6,38,7,31,0.41935483870967744,0.1689752946544118,0.36175115207373276,0.3748917748917749,0.14285714285714285,0.5806451612903226,0.5,0.29892470596224546,0.3248563758840088,0.3684210526315789
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,fixed_0_5,2,0.5,54,16,38,0.5986842105263157,0.36788667128486013,0.59375,0.5455820476858345,0.6875,0.5,0.5555555555555556,0.25071397958527575,0.19315894732861555,0.5555555555555556
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,inner_cv,2,0.55,54,16,38,0.5986842105263157,0.36788667128486013,0.5789473684210527,0.5683288922725542,0.5,0.6578947368421053,0.6111111111111112,0.25071397958527575,0.19315894732861555,0.3888888888888889
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,fixed_0_5,3,0.5,54,22,32,0.625,0.5486204213654152,0.5553977272727273,0.5556350626118068,0.45454545454545453,0.65625,0.5740740740740741,0.23388929624697813,0.15590343103135426,0.3888888888888889
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,inner_cv,3,0.55,54,22,32,0.625,0.5486204213654152,0.5653409090909091,0.5561643835616439,0.3181818181818182,0.8125,0.6111111111111112,0.23388929624697813,0.15590343103135426,0.24074074074074073
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,fixed_0_5,4,0.5,50,17,33,0.5222816399286988,0.42265421303551065,0.49376114081996436,0.49066213921901525,0.4117647058823529,0.5757575757575758,0.52,0.2662373248321275,0.21738782767977183,0.42
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,inner_cv,4,0.3,50,17,33,0.5222816399286988,0.42265421303551065,0.5187165775401069,0.4363929146537842,0.7647058823529411,0.2727272727272727,0.44,0.2662373248321275,0.21738782767977183,0.74
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,fixed_0_5,0,0.5,57,24,33,0.6287878787878788,0.5004944644072117,0.5132575757575758,0.484629294755877,0.20833333333333334,0.8181818181818182,0.5614035087719298,0.23474512365772607,0.07399320743516123,0.19298245614035087
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,inner_cv,0,0.45,57,24,33,0.6287878787878788,0.5004944644072117,0.6041666666666666,0.6041666666666666,0.5416666666666666,0.6666666666666666,0.6140350877192983,0.23474512365772607,0.07399320743516123,0.42105263157894735
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,fixed_0_5,1,0.5,38,7,31,0.49769585253456217,0.21998299319727893,0.5368663594470046,0.5064935064935066,0.42857142857142855,0.6451612903225806,0.6052631578947368,0.23400276108298174,0.2790343283116051,0.3684210526315789
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,inner_cv,1,0.45,38,7,31,0.49769585253456217,0.21998299319727893,0.543778801843318,0.47384615384615386,0.5714285714285714,0.5161290322580645,0.5263157894736842,0.23400276108298174,0.2790343283116051,0.5
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,fixed_0_5,2,0.5,54,16,38,0.5773026315789473,0.3863770163118887,0.5427631578947368,0.5418181818181818,0.375,0.7105263157894737,0.6111111111111112,0.2319739290076957,0.16239883073888237,0.3148148148148148
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,inner_cv,2,0.5,54,16,38,0.5773026315789473,0.3863770163118887,0.5427631578947368,0.5418181818181818,0.375,0.7105263157894737,0.6111111111111112,0.2319739290076957,0.16239883073888237,0.3148148148148148
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,fixed_0_5,3,0.5,54,22,32,0.5497159090909091,0.5543699557731873,0.5738636363636364,0.555921052631579,0.2727272727272727,0.875,0.6296296296296297,0.23961620562918956,0.08976096692076876,0.18518518518518517
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,inner_cv,3,0.45,54,22,32,0.5497159090909091,0.5543699557731873,0.5071022727272727,0.4984520123839009,0.5454545454545454,0.46875,0.5,0.23961620562918956,0.08976096692076876,0.5370370370370371
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,fixed_0_5,4,0.5,50,17,33,0.7611408199643493,0.6961395239509303,0.6746880570409982,0.6843127731908694,0.47058823529411764,0.8787878787878788,0.74,0.20634144518404285,0.15671712737601567,0.24
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,inner_cv,4,0.45,50,17,33,0.7611408199643493,0.6961395239509303,0.6559714795008913,0.6305418719211823,0.7058823529411765,0.6060606060606061,0.64,0.20634144518404285,0.15671712737601567,0.5
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,fixed_0_5,0,0.5,57,24,33,0.5416666666666667,0.4465404048013034,0.5208333333333333,0.5188311688311689,0.375,0.6666666666666666,0.543859649122807,0.2730947455189342,0.16277470162630586,0.3508771929824561
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,inner_cv,0,0.3,57,24,33,0.5416666666666667,0.4465404048013034,0.5757575757575757,0.5614035087719298,0.6666666666666666,0.48484848484848486,0.5614035087719298,0.2730947455189342,0.16277470162630586,0.5789473684210527
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,fixed_0_5,1,0.5,38,7,31,0.488479262672811,0.21255424946127036,0.5921658986175116,0.5324036095159967,0.5714285714285714,0.6129032258064516,0.6052631578947368,0.2637537850783047,0.3815920703624376,0.42105263157894735
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,inner_cv,1,0.4,38,7,31,0.488479262672811,0.21255424946127036,0.4631336405529954,0.3734767025089606,0.5714285714285714,0.3548387096774194,0.39473684210526316,0.2637537850783047,0.3815920703624376,0.631578947368421
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,fixed_0_5,2,0.5,54,16,38,0.59375,0.3401566969823549,0.5164473684210527,0.513894324853229,0.375,0.6578947368421053,0.5740740740740741,0.24462681007383488,0.16629548067317582,0.35185185185185186
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,inner_cv,2,0.4,54,16,38,0.59375,0.3401566969823549,0.6118421052631579,0.55,0.75,0.47368421052631576,0.5555555555555556,0.24462681007383488,0.16629548067317582,0.5925925925925926
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,fixed_0_5,3,0.5,54,22,32,0.48863636363636365,0.462918315600961,0.4943181818181818,0.4935064935064935,0.36363636363636365,0.625,0.5185185185185185,0.26024288050824834,0.14045226480069284,0.37037037037037035
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,inner_cv,3,0.5,54,22,32,0.48863636363636365,0.462918315600961,0.4943181818181818,0.4935064935064935,0.36363636363636365,0.625,0.5185185185185185,0.26024288050824834,0.14045226480069284,0.37037037037037035
