cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,auroc,0.37424064140675567,0.5126789340995308,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,auprc,0.2430078346172732,0.3739254995246922,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,brier_score,0.25569334787678505,0.28192992371065634,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,ece,0.13160952922399605,0.23960327785437535,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,balanced_accuracy,0.4236355740329539,0.5429091960670908,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,macro_f1,0.420556192045763,0.5351078045526052,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,sensitivity,0.32037864077669903,0.5178736772486773,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,specificity,0.4816246548499154,0.6119643716899373,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,accuracy,0.45,0.5594531249999999,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,fixed_0_5,positive_prediction_rate,0.3875,0.49375,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,auroc,0.37424064140675567,0.5126789340995308,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,auprc,0.2430078346172732,0.3739254995246922,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,brier_score,0.25569334787678505,0.28192992371065634,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,ece,0.13160952922399605,0.23960327785437535,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,balanced_accuracy,0.4102744220634241,0.5175529396079296,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,macro_f1,0.4068362030944903,0.5172000442588678,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,sensitivity,0.17092198581560283,0.34348484848484845,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,specificity,0.601872379693766,0.732157258064516,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,accuracy,0.475,0.5875,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,hist_gradient_boosting,20260909,inner_cv,positive_prediction_rate,0.25929687500000004,0.359375,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,fixed_0_5,auroc,0.384677251778466,0.5231251920427135,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,fixed_0_5,auprc,0.25369424651763844,0.37982244788985714,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,fixed_0_5,brier_score,0.2528509665766778,0.2658263649177294,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,fixed_0_5,ece,0.13174224478600535,0.23275100219367698,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,fixed_0_5,balanced_accuracy,0.42675501116889286,0.5436434477809067,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,fixed_0_5,macro_f1,0.4229581370800255,0.5351078045526052,1000
group_cv,eye_qixin_120_combined_native,eye,qixin_120,combined,age_grade,logistic_regression,20260909,fixed_0_5,sensitivity,0.32429702429702434,0.5104881084070796,1000
