task,model,fold,n_subjects,threshold,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,tn,fp,fn,tp
rest,inceptiontime,1,257,0.31770788530556315,0.5696416497633537,0.39845469227221764,0.5682555780933063,0.4482758620689655,0.6882352941176471,0.43575418994413406,0.2563338320651938,117,53,48,39
rest,inceptiontime,2,257,0.6001602072373822,0.507396449704142,0.3564654337332382,0.473271920387305,0.14772727272727273,0.7988165680473372,0.1925925925925926,0.2756831205824598,135,34,75,13
rest,inceptiontime,3,257,0.5025143977270647,0.47108660570199035,0.3170243985020035,0.4675901022054868,0.13636363636363635,0.7988165680473372,0.1791044776119403,0.29422692026757363,135,34,76,12
rest,inceptiontime,4,257,0.8099137824865466,0.4681280258203335,0.36726538223369115,0.48157611619150076,0.3181818181818182,0.6449704142011834,0.3181818181818182,0.4048926465756656,109,60,60,28
rest,inceptiontime,5,256,0.13574553176807563,0.5661429640209481,0.3941810757782247,0.6052846357886146,0.4827586206896552,0.727810650887574,0.48,0.28205238829159773,123,46,45,42
rest,inceptiontime,overall_oof,1284,0.5025143977270647,0.5105519392899166,0.3459556346474023,0.494041257812753,0.2694063926940639,0.7186761229314421,0.2972292191435768,0.30265381379424333,608,238,320,118
