cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,ece,0.07211049572616512,0.11546934355839412,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,balanced_accuracy,0.5541008115492282,0.6012105970136448,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,macro_f1,0.5398652863600051,0.5846696816611264,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,sensitivity,0.5383276456992806,0.6150386369252195,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,specificity,0.5519390746192163,0.605681464567459,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,accuracy,0.5565796703296704,0.6005631868131868,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,1,inner_cv,positive_prediction_rate,0.4527335164835165,0.49615384615384617,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,auroc,0.5289197937413112,0.585921824104469,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,auprc,0.3514851976213297,0.4190258874493907,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,brier_score,0.23348921144484516,0.24530329954017402,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,ece,0.1074364730375707,0.14955385129218243,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,balanced_accuracy,0.5335222161860395,0.5824632533847836,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,macro_f1,0.5331554572530872,0.581638580393988,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,sensitivity,0.3820210904402284,0.4639510971786834,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,specificity,0.6672264794988142,0.7196178701132236,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,accuracy,0.5791208791208792,0.624739010989011,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,fixed_0_5,positive_prediction_rate,0.32362637362637364,0.367032967032967,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,auroc,0.5289197937413112,0.585921824104469,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,auprc,0.3514851976213297,0.4190258874493907,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,brier_score,0.23348921144484516,0.24530329954017402,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,ece,0.1074364730375707,0.14955385129218243,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,balanced_accuracy,0.5540551726408907,0.6030463734875474,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,macro_f1,0.5491275922683513,0.5959993762142949,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,sensitivity,0.4733279569892473,0.5557327530556034,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,specificity,0.6182398085609504,0.6726225083056478,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,accuracy,0.5769230769230769,0.6252884615384615,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,2,inner_cv,positive_prediction_rate,0.38461538461538464,0.4296978021978021,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,auroc,0.5614632940969618,0.6194868818831624,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,auprc,0.3762129050662782,0.4502128589198663,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,brier_score,0.22898775134149865,0.23940894900673532,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,ece,0.10143940311600054,0.14291468402579346,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,balanced_accuracy,0.538884903586603,0.5879779927787212,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,macro_f1,0.5385924971869932,0.5872908906873517,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,sensitivity,0.37907065305461024,0.45684699392641004,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,specificity,0.6805848232536865,0.7334464599278849,1000
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,mean,fixed_0_5,accuracy,0.5862637362637363,0.6329670329670329,1000
