cv_protocol,cohort_name,modality,device,task,model,seed,comparison,feature_set_a,feature_set_b,auroc_diff,p_two_sided
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,1,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.022718164709734645,0.008
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,2,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.029215712536588556,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,2,eeg_deep_vs_demographics,eeg_deep,demographics,-0.06610112014129968,0.002
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,2,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,-0.02125855057874304,0.29
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,2,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0015759021128589068,0.664
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,2,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.026762703360912965,0.006
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,mean,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.006673439709247164,0.216
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,mean,eeg_deep_vs_demographics,eeg_deep,demographics,-0.10763504180000169,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,mean,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,-0.010886299857663234,0.538
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,mean,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.0011585133736789488,0.722
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__difference_wave__mean_std__none,mean,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.0058314461077849655,0.348
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,0,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.0006607758916950535,0.81
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,0,eeg_deep_vs_demographics,eeg_deep,demographics,-0.12919308147844433,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,0,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,-0.03824972074841973,0.052
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,0,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.003922338623272237,0.286
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,0,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.004709985310995701,0.248
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,1,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.02179324253321535,0.006
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,1,eeg_deep_vs_demographics,eeg_deep,demographics,-0.062305231808419126,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,1,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.049543314011351536,0.012
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,1,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,0.0017117636237717893,0.542
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,1,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.023371642649710533,0.006
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,2,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.024204933877847,0.008
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,2,eeg_deep_vs_demographics,eeg_deep,demographics,-0.07769780349003047,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,2,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,-0.03248802007348234,0.098
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,2,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.003217827402695106,0.404
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,2,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,0.02775077747615451,0.008
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,mean,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,-0.007251824888990399,0.186
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,mean,eeg_deep_vs_demographics,eeg_deep,demographics,-0.0930721267998342,0.001
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,mean,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.004722937725654269,0.772
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,mean,demographics_eeg_deep_vs_demographics_eeg_traditional,demographics_eeg_deep,demographics_eeg_traditional,-0.0017293532126569922,0.552
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__standard_only__mean_std__none,mean,demographics_eeg_traditional_vs_demographics,demographics_eeg_traditional,demographics,-0.005298791536970271,0.364
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,0,demographics_eeg_deep_vs_demographics,demographics_eeg_deep,demographics,0.004282001871714569,0.082
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,0,eeg_deep_vs_demographics,eeg_deep,demographics,-0.027509233983069925,0.158
group_cv,eeg_oddball_goal3,eeg,,oddball,conformer__target_only__mean_std__none,0,eeg_deep_vs_eeg_traditional,eeg_deep,eeg_traditional,0.06462821585500397,0.001
