control,cv_protocol,seed,n_subjects,auroc,auroc_fold_min,auroc_fold_max
pc2_sex,standard_cv,0,1819,0.7734428011026293,0.7514443362544629,0.7961097023888963
pc2_sex,group_cv,0,1819,0.7671729219677693,0.7363387978142076,0.8295363173411954
pc3_age,standard_cv,0,1819,0.8209419590172728,0.7924096467855434,0.8454615335340465
pc3_age,group_cv,0,1819,0.8028685226906984,0.764418811002662,0.8438937025025414
