cv_protocol,cohort_name,modality,device,task,feature_set,model,n_seeds,auroc_seed_mean,auroc_seed_std,auroc_seed_min,auroc_seed_max
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__condition_aware__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__difference_wave__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__standard_only__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,conformer__target_only__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__attention__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__condition_aware__mean_std__robust_z,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__difference_wave__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__standard_only__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,eegnet__target_only__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,inceptiontime__condition_aware__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
group_cv,eeg_oddball_goal3,eeg,,oddball,demographics,inceptiontime__difference_wave__mean_std__none,3,0.5800090321997923,0.02196744668603744,0.557388565235063,0.6012593144560358
