fold,epoch,train_loss
1,1,0.9680620972414195
1,2,0.950435862037706
1,3,0.9449756926631335
1,4,0.9415153538958626
1,5,0.9390317590340324
1,6,0.9373275756095507
1,7,0.9336824069111984
1,8,0.9296239447889861
1,9,0.9264829210613085
1,10,0.9277094576669775
1,11,0.9246982306427096
1,12,0.9245386134763682
1,13,0.924075284359618
1,14,0.9228771173435709
1,15,0.9226862321729246
1,16,0.9217341490413832
1,17,0.9187151471280163
1,18,0.9194353215442681
1,19,0.9171542888102324
1,20,0.9179931394061687
1,21,0.9140603838500029
1,22,0.9128447445283024
1,23,0.915124798043174
1,24,0.9139660045226908
1,25,0.9165897924707543
1,26,0.9117864977498973
1,27,0.9080792484076127
1,28,0.9132796829531652
1,29,0.9103945723231535
1,30,0.9125361842398317
1,31,0.9096925458552675
1,32,0.9068356037880323
1,33,0.9127351834166865
1,34,0.9100287030942692
1,35,0.9076899182722435
1,36,0.9097076498943827
1,37,0.9064371541420125
1,38,0.9101461827384759
1,39,0.909296068715753
1,40,0.9060510015635757
1,41,0.9074234388629843
1,42,0.9075199265657745
1,43,0.9100946091717075
1,44,0.9126196918280228
1,45,0.9050883802567949
1,46,0.908838489040825
1,47,0.9058003803217634
1,48,0.9032205761589619
1,49,0.9098071056123106
1,50,0.9028261107687624
1,51,0.9013591434644617
1,52,0.9048860247090736
1,53,0.9033941297057253
1,54,0.9023774914119554
1,55,0.9050378632841644
1,56,0.9024561784282235
1,57,0.900281414111949
1,58,0.9040570869949294
1,59,0.9032364772713702
1,60,0.897390059432628
1,61,0.9034043894791455
1,62,0.9024883479065036
1,63,0.903503105877349
1,64,0.9032860283525834
1,65,0.8996172795384567
1,66,0.9011154548722025
1,67,0.9016407402405827
1,68,0.9013019600269957
1,69,0.900643281314684
1,70,0.9017648245236889
1,71,0.9002092314062652
1,72,0.8996668669007579
2,1,0.9614103947366986
2,2,0.9506727875389668
2,3,0.9492380622751224
2,4,0.9462570318524142
2,5,0.9437998251885361
2,6,0.9385915872473154
2,7,0.9365368348471126
2,8,0.9335929403393906
2,9,0.9326166351389441
2,10,0.9293677873492981
2,11,0.9291977626936776
2,12,0.9223886502455481
2,13,0.9226389860514528
2,14,0.9226982193703978
2,15,0.923313117545584
2,16,0.9164700289690717
2,17,0.9190953995870508
2,18,0.917438444883927
2,19,0.9175671079884404
2,20,0.9142495915756462
2,21,0.9146201980780371
2,22,0.9129757318437469
2,23,0.9110458252592857
2,24,0.9100846948090547
2,25,0.9094603746574118
2,26,0.911075764931507
2,27,0.9108762700365197
2,28,0.9091158324146863
2,29,0.9086771929486198
2,30,0.9116044192580703
2,31,0.9068622415110191
2,32,0.9067449180976205
2,33,0.9058092621542653
2,34,0.9084841857045334
2,35,0.9037730393942839
2,36,0.905608143865692
2,37,0.9041304795638375
2,38,0.9069981363989552
2,39,0.9038550072575208
2,40,0.9045037083003832
2,41,0.9035553225078938
2,42,0.9022718412535531
2,43,0.9003344492882676
2,44,0.9035960024928454
2,45,0.8996266026674591
2,46,0.8988949693508029
2,47,0.9010520858794265
2,48,0.8990946008551935
2,49,0.8996055377936512
2,50,0.8998907415763192
2,51,0.897418064730508
2,52,0.9007101599474131
2,53,0.8994651148037881
2,54,0.9025817635636892
2,55,0.9005772771302217
2,56,0.9008062252346773
2,57,0.898858484274112
2,58,0.8958227101320065
2,59,0.9007496578352792
2,60,0.8983205930786844
2,61,0.8966944095510874
2,62,0.8981901547923592
2,63,0.8984880521430733
2,64,0.8992394205205929
2,65,0.8952485456229737
2,66,0.8969333464314478
2,67,0.8971546792095493
2,68,0.8994270848191303
2,69,0.8949072764526983
2,70,0.8938323063139589
2,71,0.8958248599715855
2,72,0.8950529924090604
2,73,0.8943734098665462
2,74,0.8947820374684304
2,75,0.8969678582612032
2,76,0.8982517256499818
2,77,0.8934097630637032
2,78,0.894878149402808
2,79,0.8964956661929255
2,80,0.8940120250541971
3,1,0.974223292022018
3,2,0.9536556334969419
3,3,0.9512714488165719
3,4,0.9480997312883412
3,5,0.9460132762512065
3,6,0.945420253350868
3,7,0.9408806795659272
3,8,0.9405744053562235
3,9,0.9423029444972921
3,10,0.9397812774462729
3,11,0.9377517130063928
3,12,0.9359028824367879
3,13,0.9337371891329748
3,14,0.9361357337199383
3,15,0.9322464910353193
3,16,0.9298935773209756
3,17,0.92894496902916
3,18,0.9278602862950438
3,19,0.9280073639028561
3,20,0.9253780578974611
3,21,0.9251183045576818
3,22,0.9265216437185774
3,23,0.9257843042752758
3,24,0.923059095877298
3,25,0.919924102954983
3,26,0.9212579793811585
3,27,0.9215289628283577
3,28,0.9198557597509822
3,29,0.9171142485571204
3,30,0.9180810903170094
3,31,0.9176201672287461
3,32,0.9160283681768808
3,33,0.9190739589448301
3,34,0.9170840956409525
3,35,0.9152922715459552
3,36,0.9160038425315241
3,37,0.9110743225731465
3,38,0.9157540131799923
3,39,0.9141172500130552
3,40,0.9129553722298663
3,41,0.9138256033755238
3,42,0.9170439387700573
3,43,0.9118442679784313
3,44,0.9096662328109978
3,45,0.9129154711776639
3,46,0.9134467806875336
3,47,0.9127637340415339
3,48,0.9101181841044692
3,49,0.9143837601501749
3,50,0.9132784827155356
3,51,0.9128616041278247
3,52,0.9093103656857651
3,53,0.9131366247716157
3,54,0.9104564922936955
3,55,0.9090278378184538
3,56,0.9088995175332016
3,57,0.9081765198559495
3,58,0.9068737170711068
3,59,0.9077151639861349
3,60,0.9090521861307369
3,61,0.9062663598090225
3,62,0.9092187733383652
3,63,0.9090208592622177
3,64,0.9062769912784885
3,65,0.9099201263848299
3,66,0.9071997063500541
3,67,0.9059853450111721
3,68,0.9068439499191616
3,69,0.9075628952209994
3,70,0.9086269406798464
3,71,0.9048602207106833
3,72,0.9066387474166681
3,73,0.9047323898499057
3,74,0.9028802695481674
3,75,0.9033134735148886
3,76,0.9055999358248267
3,77,0.9061468358365645
3,78,0.9022846906821921
3,79,0.9056000772470273
3,80,0.9066881356031998
4,1,0.9708786773385468
4,2,0.9535783022086813
4,3,0.9487602921746532
4,4,0.946354413624876
4,5,0.9431492167970409
4,6,0.9429824078305168
4,7,0.9406606047790244
4,8,0.940665406469973
4,9,0.9394040489048692
4,10,0.9370781490521402
4,11,0.9356804242045242
4,12,0.9376965183649004
4,13,0.9359741862516225
4,14,0.9351252521046941
4,15,0.932965230127299
4,16,0.9340670186540355
4,17,0.9347844623630832
4,18,0.9319555563215883
4,19,0.9344114753770532
4,20,0.9303960455870777
4,21,0.9305992148677755
4,22,0.9307153609968861
4,23,0.9299096983412037
4,24,0.9283481166229485
4,25,0.9267179947462141
4,26,0.925657155721084
4,27,0.9269738723032223
4,28,0.9259518011016135
4,29,0.9273776560096267
4,30,0.9257212147949645
4,31,0.9231100715465427
4,32,0.923662983852884
4,33,0.9226877878171317
4,34,0.920641939832557
4,35,0.9206661459822092
4,36,0.919913533311453
4,37,0.9188264282593815
4,38,0.919615362001502
4,39,0.918586906809244
4,40,0.9182126536872817
4,41,0.9195577902083071
4,42,0.9194671085902623
4,43,0.9170338781724064
4,44,0.920066243373089
4,45,0.9198668006784427
4,46,0.9172085505094587
4,47,0.9184167222206637
4,48,0.9151600969504126
4,49,0.915757307724923
4,50,0.9169631878041332
4,51,0.9137785738299352
4,52,0.9144629343696262
4,53,0.9172692010121316
4,54,0.9165741593941398
4,55,0.9130158583569971
4,56,0.9133479995016726
4,57,0.9148602903999897
4,58,0.9152992252977739
4,59,0.9142170752057378
4,60,0.9111156700560765
4,61,0.9108713387702563
4,62,0.9117646624582895
4,63,0.9133982121574212
4,64,0.9106512358469993
4,65,0.9131334520274808
4,66,0.9143911929604429
4,67,0.909551713777625
4,68,0.9101222561012884
4,69,0.910639530753497
4,70,0.9134295453195986
4,71,0.9122584943445573
4,72,0.9116170195318898
4,73,0.9127399740011796
4,74,0.9079567856670167
4,75,0.9097886100318862
4,76,0.9099697626155355
4,77,0.9088338180358365
4,78,0.9076043182278272
4,79,0.9074791717973555
4,80,0.9094883973554054
5,1,0.9664435147503276
5,2,0.9521095219217701
5,3,0.9490246500497983
5,4,0.9487262526412069
5,5,0.9461100668083002
5,6,0.941644616333055
5,7,0.9419282880830177
5,8,0.9383160792015217
5,9,0.9360130469740173
5,10,0.9347457771683917
5,11,0.934179797216698
5,12,0.9305902969690016
5,13,0.9290834875018509
5,14,0.9294558436046412
5,15,0.9255529862863047
5,16,0.9245167198004546
5,17,0.9243167679250976
5,18,0.924346191647612
5,19,0.9220280113779469
5,20,0.9244601472660348
5,21,0.9221215064142957
5,22,0.9199653304653403
5,23,0.91829263943213
5,24,0.9205586457694018
5,25,0.918518360014315
5,26,0.914265086621414
5,27,0.9150462124818637
5,28,0.9142507127037754
5,29,0.9157513207123603
5,30,0.9154531882133012
5,31,0.9113097937754643
5,32,0.9116289483176337
5,33,0.9107574496740176
5,34,0.9092773865034551
5,35,0.9100447400116626
5,36,0.9113247876549945
5,37,0.9059649426260112
5,38,0.9066960495195271
5,39,0.9066633975800172
5,40,0.9080265377774651
5,41,0.9093258918067555
5,42,0.9049138128757477
5,43,0.9063571514906706
5,44,0.9048852339202975
5,45,0.9087199289121746
5,46,0.9059008966993403
5,47,0.9053886050795331
5,48,0.9023157435434835
5,49,0.9048049199728319
5,50,0.9038720829987231
5,51,0.9027293537869866
5,52,0.9049380068425779
5,53,0.908555488527557
5,54,0.9033525196122535
5,55,0.9027039018678077
5,56,0.9018015361126558
5,57,0.9023014097302048
5,58,0.8998714254962074
5,59,0.9053401097103402
5,60,0.8993889155947132
5,61,0.9007304465329206
5,62,0.9016691236584274
5,63,0.8986325661341349
5,64,0.8991589796395949
5,65,0.9021448529796836
5,66,0.9003811861261909
5,67,0.8979801910894888
5,68,0.9013547477898775
5,69,0.9038562060874186
