L_id,task,status,error,windows,rejected_windows
L1893,1back,fail,no_valid_windows,0,22
L1894,1back,ok,,26,0
L1895,1back,ok,,6,18
L1896,1back,ok,,12,7
L1897,1back,fail,no_valid_windows,0,24
L1898,1back,ok,,10,8
L1899,1back,ok,,9,16
L19,1back,ok,,16,8
L190,1back,ok,,3,17
L1901,1back,ok,,18,6
L1902,1back,fail,no_valid_windows,0,25
L1903,1back,ok,,20,5
L1905,1back,fail,no_valid_windows,0,23
L1906,1back,ok,,23,3
L1907,1back,ok,,21,1
L1908,1back,ok,,21,4
L1909,1back,ok,,1,16
L191,1back,ok,,26,0
L1910,1back,fail,no_valid_windows,0,24
L1911,1back,ok,,2,14
L192,1back,ok,,25,0
L194,1back,ok,,4,20
L195,1back,ok,,3,23
L196,1back,ok,,23,2
L198,1back,ok,,1,24
L199,1back,ok,,5,19
L200,1back,ok,,22,1
L201,1back,ok,,23,2
L202,1back,ok,,4,21
L203,1back,ok,,4,19
L205,1back,ok,,12,13
L2058,1back,ok,,14,10
L206,1back,ok,,18,7
L207,1back,ok,,18,7
L208,1back,ok,,11,14
L209,1back,ok,,15,0
L21,1back,ok,,26,0
L210,1back,ok,,5,20
L211,1back,ok,,13,8
L212,1back,fail,no_valid_windows,0,25
L213,1back,ok,,5,21
L214,1back,ok,,24,1
L216,1back,ok,,5,17
L217,1back,ok,,22,3
L218,1back,ok,,15,10
L219,1back,ok,,18,7
L22,1back,ok,,16,8
L220,1back,ok,,16,9
L221,1back,ok,,22,3
L222,1back,ok,,3,21
L223,1back,ok,,11,15
L225,1back,ok,,3,20
L226,1back,ok,,19,3
L227,1back,ok,,22,0
L228,1back,ok,,22,3
L24,1back,ok,,25,0
L242,1back,ok,,15,10
L243,1back,ok,,12,14
L244,1back,ok,,4,21
L246,1back,ok,,20,5
L247,1back,ok,,18,7
L248,1back,ok,,11,14
L249,1back,ok,,4,22
L250,1back,ok,,18,7
L251,1back,ok,,1,23
L2510,1back,ok,,11,14
L2517,1back,ok,,10,15
L2518,1back,ok,,3,21
L252,1back,ok,,8,18
L2521,1back,ok,,4,20
L2524,1back,ok,,12,11
L2525,1back,ok,,18,8
L2527,1back,ok,,16,9
L2528,1back,ok,,2,23
L253,1back,ok,,16,8
L2531,1back,ok,,14,11
L2533,1back,ok,,26,0
L2534,1back,ok,,22,3
L2535,1back,ok,,15,11
L2539,1back,fail,no_valid_windows,0,25
L2541,1back,ok,,19,6
L2542,1back,ok,,16,6
L2548,1back,ok,,12,14
L2549,1back,ok,,25,0
L255,1back,ok,,1,14
L2550,1back,ok,,12,10
L2551,1back,ok,,25,0
L2552,1back,ok,,4,22
L2553,1back,ok,,2,1
L2554,1back,ok,,10,15
L2555,1back,ok,,25,0
L2556,1back,ok,,20,3
L2557,1back,ok,,22,3
L2558,1back,ok,,21,3
L2559,1back,ok,,20,1
L256,1back,ok,,13,2
L2560,1back,ok,,17,8
L2561,1back,ok,,8,11
L2562,1back,ok,,23,3
L2563,1back,ok,,24,0
L2564,1back,ok,,22,3
L2565,1back,ok,,17,7
L2566,1back,ok,,15,7
L2567,1back,ok,,22,3
L2568,1back,ok,,13,11
L2569,1back,ok,,22,3
L257,1back,fail,no_valid_windows,0,24
L2570,1back,ok,,22,1
L2571,1back,ok,,24,1
L2572,1back,ok,,13,13
L2573,1back,ok,,20,6
L2574,1back,ok,,10,15
L2575,1back,ok,,19,6
L2576,1back,ok,,24,0
L2577,1back,ok,,18,7
L2578,1back,ok,,18,6
L2579,1back,ok,,19,6
L258,1back,ok,,18,5
L2580,1back,ok,,12,9
L2581,1back,ok,,19,6
L2582,1back,ok,,12,12
L2583,1back,ok,,15,10
L2584,1back,fail,IndexError('list index out of range'),0,0
L2586,1back,ok,,24,1
L2587,1back,ok,,22,2
L2588,1back,ok,,15,1
L2589,1back,ok,,26,0
L259,1back,ok,,11,15
L2590,1back,ok,,14,9
L2591,1back,ok,,5,17
L2592,1back,ok,,24,1
L2593,1back,ok,,21,3
L2594,1back,ok,,21,4
L2595,1back,ok,,7,18
L2596,1back,ok,,23,0
L2597,1back,ok,,8,9
L2598,1back,ok,,23,3
L2599,1back,ok,,8,17
L26,1back,ok,,24,2
L260,1back,fail,no_valid_windows,0,25
L2600,1back,ok,,23,0
L2601,1back,ok,,11,15
L2602,1back,fail,no_valid_windows,0,21
L2603,1back,ok,,24,1
L2604,1back,ok,,12,8
L2605,1back,ok,,4,21
L2606,1back,ok,,12,10
L2607,1back,ok,,23,0
L2608,1back,ok,,2,23
L261,1back,ok,,11,15
L2610,1back,ok,,20,5
L2613,1back,ok,,25,0
L2614,1back,fail,no_valid_windows,0,25
L2616,1back,ok,,10,10
L2618,1back,ok,,20,6
L2619,1back,ok,,1,22
L262,1back,ok,,20,2
L2622,1back,ok,,23,2
L2623,1back,ok,,24,2
L2624,1back,fail,no_valid_windows,0,24
L2627,1back,ok,,1,23
L2628,1back,ok,,18,9
L2629,1back,ok,,4,20
L263,1back,ok,,17,8
L2630,1back,ok,,16,7
L2631,1back,ok,,13,12
L2633,1back,ok,,8,18
L2634,1back,ok,,18,8
L2635,1back,ok,,11,14
L2636,1back,ok,,25,0
L2637,1back,ok,,19,6
L264,1back,ok,,13,13
L2640,1back,ok,,23,3
L2644,1back,ok,,25,0
L2645,1back,ok,,9,14
L2646,1back,ok,,7,19
L2647,1back,ok,,13,12
