L_id,task,status,error,windows,rejected_windows
L1505,oddball,ok,,25,0
L1506,oddball,ok,,23,2
L1507,oddball,ok,,25,0
L1508,oddball,ok,,24,1
L1509,oddball,ok,,25,0
L151,oddball,ok,,23,0
L1511,oddball,ok,,24,1
L1512,oddball,ok,,21,2
L1513,oddball,ok,,24,0
L1514,oddball,ok,,23,1
L1515,oddball,ok,,22,0
L1516,oddball,ok,,23,2
L1517,oddball,ok,,25,0
L1518,oddball,ok,,22,2
L1519,oddball,ok,,22,2
L152,oddball,ok,,19,1
L1520,oddball,ok,,25,0
L1521,oddball,ok,,22,0
L1522,oddball,ok,,20,0
L1523,oddball,ok,,25,0
L1524,oddball,ok,,25,0
L1527,oddball,ok,,23,2
L153,oddball,ok,,24,0
L1532,oddball,ok,,23,0
L1539,oddball,ok,,18,6
L154,oddball,ok,,25,0
L1540,oddball,ok,,19,6
L1541,oddball,ok,,25,0
L1542,oddball,ok,,25,0
L1543,oddball,ok,,25,0
L1544,oddball,ok,,25,0
L1545,oddball,ok,,25,0
L1546,oddball,ok,,25,0
L1547,oddball,ok,,24,1
L1548,oddball,ok,,25,0
L1549,oddball,ok,,17,4
L155,oddball,ok,,24,0
L1550,oddball,ok,,25,0
L1551,oddball,ok,,24,0
L1552,oddball,ok,,25,0
L1553,oddball,ok,,24,1
L1554,oddball,ok,,25,0
L1555,oddball,ok,,25,0
L1556,oddball,ok,,21,3
L1557,oddball,ok,,24,0
L1558,oddball,ok,,22,3
L1560,oddball,ok,,24,1
L1562,oddball,ok,,25,0
L1564,oddball,ok,,23,2
L1565,oddball,ok,,23,2
L1566,oddball,ok,,25,0
L1567,oddball,ok,,24,1
L1568,oddball,ok,,25,0
L1569,oddball,ok,,24,0
L157,oddball,ok,,23,1
L1570,oddball,ok,,24,0
L1571,oddball,ok,,22,1
L1572,oddball,ok,,23,0
L1573,oddball,ok,,24,1
L1574,oddball,ok,,22,3
L1575,oddball,ok,,23,1
L1576,oddball,ok,,22,2
L1577,oddball,ok,,25,0
L1578,oddball,ok,,25,0
L1579,oddball,ok,,25,0
L158,oddball,ok,,24,1
L1580,oddball,ok,,21,3
L1581,oddball,ok,,21,3
L1582,oddball,ok,,25,0
L1583,oddball,ok,,25,0
L1584,oddball,ok,,24,0
L1585,oddball,ok,,17,3
L1586,oddball,ok,,25,0
L1587,oddball,ok,,25,0
L1588,oddball,ok,,22,2
L1589,oddball,ok,,25,0
L159,oddball,ok,,25,0
L1590,oddball,ok,,24,1
L1591,oddball,ok,,25,0
L1592,oddball,ok,,22,0
L1593,oddball,ok,,25,0
L1594,oddball,ok,,25,0
L1595,oddball,ok,,23,2
L1596,oddball,ok,,25,0
L1597,oddball,ok,,20,5
L1598,oddball,ok,,25,0
L16,oddball,ok,,25,0
L160,oddball,ok,,24,0
L1600,oddball,ok,,24,1
L1601,oddball,ok,,25,0
L1602,oddball,ok,,21,4
L1603,oddball,ok,,25,0
L1604,oddball,ok,,22,0
L1606,oddball,ok,,25,0
L1608,oddball,ok,,23,1
L1609,oddball,ok,,22,2
L161,oddball,ok,,23,2
L1610,oddball,ok,,23,1
L1611,oddball,ok,,22,1
L1612,oddball,ok,,24,0
L1613,oddball,ok,,18,2
L1615,oddball,ok,,24,1
L1616,oddball,ok,,25,0
L1618,oddball,ok,,25,0
L1619,oddball,ok,,24,1
L162,oddball,ok,,25,0
L1620,oddball,ok,,25,0
L1621,oddball,ok,,25,0
L1622,oddball,ok,,25,0
L1623,oddball,ok,,25,0
L1624,oddball,ok,,24,0
L1625,oddball,ok,,22,3
