cohort_name,modality,device,task,feature_set,n_subjects,feature_count,numeric_count,categorical_count
eeg_oddball_native,eeg,,oddball,no_information,1820,0,0,0
eeg_oddball_native,eeg,,oddball,demographics,1820,3,1,2
eeg_oddball_native,eeg,,oddball,qc,1820,6,6,0
eeg_oddball_native,eeg,,oddball,qc_demographics,1820,9,7,2
eeg_oddball_native,eeg,,oddball,signal,1820,321,321,0
eeg_oddball_native,eeg,,oddball,signal_qc,1820,327,327,0
eeg_oddball_native,eeg,,oddball,signal_demographics,1820,324,322,2
eeg_oddball_native,eeg,,oddball,signal_qc_demographics,1820,330,328,2
eeg_oddball_native,eeg,,oddball,age_only,1820,1,1,0
eeg_oddball_native,eeg,,oddball,sex_only,1820,1,0,1
eeg_oddball_native,eeg,,oddball,grade_only,1820,1,0,1
eeg_oddball_native,eeg,,oddball,grade_group_only,1820,1,0,1
eeg_oddball_native,eeg,,oddball,age_sex,1820,2,1,1
eeg_oddball_native,eeg,,oddball,age_grade,1820,2,1,1
eeg_oddball_native,eeg,,oddball,sex_grade,1820,2,0,2
eeg_oddball_native,eeg,,oddball,age_sex_grade,1820,3,1,2
eeg_oddball_native,eeg,,oddball,age_sex_grade_group,1820,4,1,3
eeg_oddball_native,eeg,,oddball,group_proxy_only,1820,4,0,4
eeg_oddball_native,eeg,,oddball,fnirs_device_only,1820,1,0,1
eeg_oddball_native,eeg,,oddball,demographics_group,1820,7,1,6
eeg_oddball_native,eeg,,oddball,demographics_group_device,1820,8,1,7
eeg_1back_native,eeg,,1back,no_information,1278,0,0,0
eeg_1back_native,eeg,,1back,demographics,1278,3,1,2
eeg_1back_native,eeg,,1back,qc,1278,5,5,0
eeg_1back_native,eeg,,1back,qc_demographics,1278,8,6,2
eeg_1back_native,eeg,,1back,signal,1278,181,181,0
eeg_1back_native,eeg,,1back,signal_qc,1278,186,186,0
eeg_1back_native,eeg,,1back,signal_demographics,1278,184,182,2
eeg_1back_native,eeg,,1back,signal_qc_demographics,1278,189,187,2
eeg_1back_native,eeg,,1back,age_only,1278,1,1,0
