cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260907,signal,demographics,signal_vs_demographics,1278,-0.06669327238900247,-0.11498518012135732,-0.016208813584758442,-0.04644416953758723,-0.08379473754938667,-0.0072980070716894664,1,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260907,signal_demographics,demographics,signal_demographics_vs_demographics,1278,-0.026081264212049482,-0.06466602722160408,0.011156616046300609,-0.023597708807651607,-0.058637210552781024,0.013207467066778904,1,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260907,signal_qc,qc,signal_qc_vs_qc,1278,0.00036463238165240774,-0.04879385145169715,0.04674107657713001,0.006474407830013962,-0.024365838111082696,0.0402172487411434,3,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260907,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,1278,-0.03846584514321161,-0.07523158115281797,-0.0013545913499820473,-0.015530019987164245,-0.051316958763745917,0.0174683418738623,1,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260907,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,1278,-0.03388784252474908,-0.07220682527238868,0.003703707347039857,-0.018922191935930754,-0.05286624812372156,0.014982737252496818,1,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260907,signal_demographics,signal,signal_demographics_vs_signal,1278,0.040612008176952985,0.015755281089270597,0.06540334658108722,0.022846460729935625,0.002388944695680294,0.04348602689841924,5,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260907,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,1278,0.04053735902795319,0.014399463646973212,0.06551446658999198,0.0298816500212416,0.005606954724355531,0.05406441461415882,5,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,logistic_regression,20260907,signal,demographics,signal_vs_demographics,1278,-0.07638330615338662,-0.12280894479635517,-0.03176730839631656,-0.08154137623422453,-0.12220873568309132,-0.04378493659606287,2,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,logistic_regression,20260907,signal_demographics,demographics,signal_demographics_vs_demographics,1278,-0.03553299492385775,-0.06833450108381117,-0.004322866312173388,-0.04353369755437575,-0.07994092060302756,-0.008582243331044424,3,5,1000,1
group_cv,eeg_1back_native,eeg,,1back,logistic_regression,20260907,signal_qc,qc,signal_qc_vs_qc,1278,0.05883788501734155,0.015405382736099694,0.10179457100589039,0.02646651447951176,0.0019935117048261097,0.05071769528500556,4,5,1000,1
