cv_protocol,cohort_name,modality,device,task,model,comparison,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,significant_positive,significant_negative
group_cv,face_segment_raw,face,,task,logistic_regression,face_vs_demographics,-0.0333979900982783,-0.0539427608226462,-0.013818921309095,0,1
group_cv,face_segment_raw,face,,task,logistic_regression,face_demographics_vs_demographics,0.0023902477072504,-0.0063788009955109,0.0123118075518579,0,0
group_cv,face_segment_raw,face,,task,logistic_regression,face_vs_background,0.0581845201441743,0.035822422436601,0.0810271640876574,1,0
group_cv,face_segment_raw,face,,task,logistic_regression,face_demographics_vs_background_demographics,0.0052386347775396,-0.0051532324945391,0.0164481871250102,0,0
group_cv,face_segment_raw,face,,task,random_forest,face_vs_demographics,-0.0704695107432857,-0.0936939946999602,-0.0476171047677907,0,1
group_cv,face_segment_raw,face,,task,random_forest,face_demographics_vs_demographics,-0.0170158131973693,-0.0295574356808793,-0.0042038598921596,0,1
group_cv,face_segment_raw,face,,task,random_forest,face_vs_background,0.0427149272970599,0.0158902243584764,0.0685729537713118,1,0
group_cv,face_segment_raw,face,,task,random_forest,face_demographics_vs_background_demographics,0.0056130282355065,-0.0066831667332022,0.0183193659526199,0,0
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_vs_demographics,-0.1129124691084344,-0.1415185917568401,-0.0865548479837033,0,1
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_demographics_vs_demographics,-0.0173561335665082,-0.0292436158150243,-0.0049824740485508,0,1
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_vs_background,0.0352705731668268,0.0072932928348002,0.0661713986177801,1,0
group_cv,face_valence_contrast,face,,task,hist_gradient_boosting,face_demographics_vs_background_demographics,-0.0015644884520965,-0.0148197369846743,0.0117321755282455,0,0
group_cv,face_valence_contrast,face,,task,logistic_regression,face_vs_demographics,-0.1073058039196368,-0.1319095289578732,-0.0801101650544381,0,1
group_cv,face_valence_contrast,face,,task,logistic_regression,face_demographics_vs_demographics,0.005704779263857,-0.0034684732662853,0.0145564180829917,0,0
group_cv,face_valence_contrast,face,,task,logistic_regression,face_vs_background,0.0471600285721321,0.0173449761849265,0.0786051812575999,1,0
group_cv,face_valence_contrast,face,,task,logistic_regression,face_demographics_vs_background_demographics,0.0133767662586105,0.0019587997091017,0.024454782175262,1,0
group_cv,face_valence_contrast,face,,task,random_forest,face_vs_demographics,-0.092498378449387,-0.1175850355818973,-0.0674188710762357,0,1
group_cv,face_valence_contrast,face,,task,random_forest,face_demographics_vs_demographics,-0.0076321666379302,-0.0201631993439287,0.0043107626494541,0,0
group_cv,face_valence_contrast,face,,task,random_forest,face_vs_background,0.1153057957092539,0.0858178649323905,0.1449960209259376,1,0
group_cv,face_valence_contrast,face,,task,random_forest,face_demographics_vs_background_demographics,0.013016330451489,0.0003896860884972,0.0245349325786284,1,0
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,hist_gradient_boosting,signal_vs_demographics,-0.0466546112115732,-0.0874601925748192,-0.0048986781825534,0,1
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0231464737793851,-0.0582858250658657,0.0099344799532174,0,0
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0330298684292572,-0.0646389513842594,-0.0001938893589368,0,1
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.026939785080335,-0.0596668955976647,0.0048644996311298,0,0
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,logistic_regression,signal_vs_demographics,-0.0465839413024049,-0.0877682496464089,-0.0035284034191835,0,1
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,logistic_regression,signal_demographics_vs_demographics,-0.0062501299079212,-0.0332613249636249,0.0220858853582933,0,0
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0041279541061296,-0.0323827919359434,0.0224105923779802,0,0
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,logistic_regression,signal_qc_demographics_vs_demographics,-0.0071729957805908,-0.0355777623072534,0.020937984514162,0,0
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,random_forest,signal_vs_demographics,-0.0838581613352456,-0.1231152410460013,-0.0408201600600966,0,1
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,random_forest,signal_demographics_vs_demographics,-0.0518779489098127,-0.0862507426435191,-0.0155556014884201,0,1
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0044490864874976,-0.0349489306875301,0.0276128805338504,0,0
group_cv,fnirs_yiruid_1back_native,fnirs,yiruid,1back,random_forest,signal_qc_demographics_vs_demographics,-0.0090873189083577,-0.0414435547714788,0.0239760637029797,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,hist_gradient_boosting,signal_vs_demographics,0.0079497803514377,-0.0503283196898284,0.0642917319467642,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,hist_gradient_boosting,signal_demographics_vs_demographics,0.0089169828274759,-0.0454775254454398,0.061946091020849,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,0.0467127595846644,-0.0051585434825171,0.0956189473088515,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,hist_gradient_boosting,signal_qc_demographics_vs_demographics,0.0170040435303514,-0.0327650731491434,0.0762004716048246,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,logistic_regression,signal_vs_demographics,-0.0565657448083067,-0.1119290712681932,0.0010916401721975,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,logistic_regression,signal_demographics_vs_demographics,-0.0363356130191693,-0.0764112616876714,0.0063289815761072,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0336336861022362,-0.0740678844722371,0.003426691724934,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,logistic_regression,signal_qc_demographics_vs_demographics,-0.029808556309904,-0.0716540640456471,0.0078422417655422,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,random_forest,signal_vs_demographics,-0.0195686900958466,-0.0740228652065929,0.033054079417448,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,random_forest,signal_demographics_vs_demographics,-0.0670240115814695,-0.117796374832858,-0.0167590476190476,0,1
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0017160043929712,-0.0464019732133933,0.0476522179345444,0,0
group_cv,fnirs_yiruid_doors_native,fnirs,yiruid,doors,random_forest,signal_qc_demographics_vs_demographics,-0.0199742911341853,-0.067492747078879,0.0307231404367312,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,hist_gradient_boosting,signal_vs_demographics,-0.0706866835994194,-0.1411112866283252,0.0049782915511411,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,hist_gradient_boosting,signal_demographics_vs_demographics,-0.0654103168843734,-0.1359385936047618,0.0059951005623926,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.027175556361877,-0.0939484245884244,0.0424545372593178,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0640496492501209,-0.1292866492971048,0.0011223836071987,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,logistic_regression,signal_vs_demographics,-0.0278483309143687,-0.1011259844286099,0.0499802822184035,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,logistic_regression,signal_demographics_vs_demographics,-0.0114296081277214,-0.0792898618304229,0.0515336990297789,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.006395137880987,-0.0649943779582495,0.0535959192819658,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,logistic_regression,signal_qc_demographics_vs_demographics,-0.0098572810836962,-0.0725550063535402,0.0534872195889242,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,random_forest,signal_vs_demographics,-0.0762125060474115,-0.1496438988683788,0.0053562996678848,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,random_forest,signal_demographics_vs_demographics,-0.0753809869375906,-0.1438271706153201,0.000524919938407,0,0
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0958061199806483,-0.1600676221279745,-0.0294546979053303,0,1
group_cv,fnirs_yiruid_oddball_native,fnirs,yiruid,oddball,random_forest,signal_qc_demographics_vs_demographics,-0.0979075955491048,-0.162061628467911,-0.0307509607076766,0,1
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,hist_gradient_boosting,signal_vs_demographics,-0.03678801762763,-0.0784601384765646,0.0049528725591111,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,hist_gradient_boosting,signal_demographics_vs_demographics,0.0022338145050738,-0.0274657314910881,0.0322832993280056,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,0.0205385811413798,-0.0109199012060817,0.0509985419552112,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,hist_gradient_boosting,signal_qc_demographics_vs_demographics,0.0080869973227346,-0.0235597584155555,0.038036568145577,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,logistic_regression,signal_vs_demographics,-0.0441684377098802,-0.0809899917207424,-0.0053027068021417,0,1
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,logistic_regression,signal_demographics_vs_demographics,0.0001048825591344,-0.0211899552093115,0.0240106761022438,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,logistic_regression,signal_qc_demographics_vs_qc_demographics,0.0025024610600498,-0.0199193549615991,0.0231534143997294,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,logistic_regression,signal_qc_demographics_vs_demographics,0.0001251230530024,-0.0225644245724894,0.0220865162699296,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,random_forest,signal_vs_demographics,-0.0470573081983199,-0.0883872808614356,-0.00600375201315,0,1
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,random_forest,signal_demographics_vs_demographics,0.0108102637704359,-0.0194774004397821,0.0427681642276749,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,random_forest,signal_qc_demographics_vs_qc_demographics,0.0195339166275656,-0.0115249544812537,0.0527710736973998,0,0
group_cv,fnirs_yiruid_rest_native,fnirs,yiruid,rest,random_forest,signal_qc_demographics_vs_demographics,-0.0100080041953024,-0.0435945740120619,0.0203282786326164,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,hist_gradient_boosting,signal_vs_demographics,-0.0543892466641957,-0.0927424657537295,-0.0144028548282398,0,1
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,hist_gradient_boosting,signal_demographics_vs_demographics,-2.9921855695613783e-05,-0.0338214848116177,0.0345846526032495,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,-0.0067690959352607,-0.0403191897042908,0.0249602905647142,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,hist_gradient_boosting,signal_qc_demographics_vs_demographics,-0.0068810615888312,-0.0407920670507041,0.0292218161186607,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,logistic_regression,signal_vs_demographics,-0.0504173616258958,-0.0911788018830825,-0.012377010727011,0,1
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,logistic_regression,signal_demographics_vs_demographics,-0.0077507258463059,-0.0352469298577351,0.0189610804661459,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0088414257474671,-0.0356835040602116,0.0163339952398732,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,logistic_regression,signal_qc_demographics_vs_demographics,-0.0069225660983445,-0.0328027121066284,0.0209489548569683,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,random_forest,signal_vs_demographics,-0.0280290570175438,-0.06600760317563,0.0121685070964824,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,random_forest,signal_demographics_vs_demographics,-0.0335887308500123,-0.0673128853397565,0.0015050415582416,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0077092213367928,-0.0397520895216019,0.027217175740623,0,0
group_cv,fnirs_yiruid_vft_native,fnirs,yiruid,vft,random_forest,signal_qc_demographics_vs_demographics,-0.0190949700395355,-0.0538056329222598,0.0149923713651421,0,0
standard_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,signal_vs_demographics,-0.0653381032225464,-0.1089081493624843,-0.0167936772461065,0,1
