cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,auroc,0.4822951707586687,0.5505652944092403,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,auprc,0.29419671575576184,0.3676053151086686,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,brier_score,0.24724165740317636,0.25584698918659166,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,ece,0.16610428291400908,0.21418171426544763,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,balanced_accuracy,0.46085690659973144,0.523039049783507,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,macro_f1,0.43673164049329377,0.4918860429604867,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,sensitivity,0.48667623232594986,0.5883778768312667,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,specificity,0.41629701986590884,0.47913475325217025,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,accuracy,0.4475547730829421,0.5031298904538342,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,fixed_0_5,positive_prediction_rate,0.5226721439749609,0.5751173708920188,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,auroc,0.4822951707586687,0.5505652944092403,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,auprc,0.29419671575576184,0.3676053151086686,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,brier_score,0.24724165740317636,0.25584698918659166,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,ece,0.16610428291400908,0.21418171426544763,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,balanced_accuracy,0.4912366523484716,0.540616914585804,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,macro_f1,0.3829128892392589,0.4367162318708868,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,sensitivity,0.7453585600907029,0.8275882992969534,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,specificity,0.21922625848384192,0.2742517694641051,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,accuracy,0.3865219092331768,0.4405320813771518,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,hist_gradient_boosting,20260907,inner_cv,positive_prediction_rate,0.741001564945227,0.7863849765258216,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,auroc,0.5018009090975836,0.5709421030205234,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,auprc,0.2990357672261484,0.37703325127997545,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,brier_score,0.24375001691920337,0.2505442381655411,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,ece,0.16281326244240238,0.21397603966377918,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,balanced_accuracy,0.4978080000897892,0.5540808061619231,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,macro_f1,0.44715896480721173,0.4991385945813337,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,sensitivity,0.6040367104505731,0.7010360188367061,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,specificity,0.36685698500394637,0.4301948952357579,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,accuracy,0.4499021909233177,0.5015649452269171,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,fixed_0_5,positive_prediction_rate,0.5899843505477308,0.6431924882629108,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,inner_cv,auroc,0.5018009090975836,0.5709421030205234,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,inner_cv,auprc,0.2990357672261484,0.37703325127997545,1000
group_cv,eeg_1back_native,eeg,,1back,age_grade,logistic_regression,20260907,inner_cv,brier_score,0.24375001691920337,0.2505442381655411,1000
