feature,n,r_half,spearman_brown
signal_early_happy_eyes_share,305,0.5381008082453664,0.6996951114787082
signal_early_happy_mouth_share,305,0.36595192248104486,0.5358196236019034
signal_early_happy_face_other_share,305,0.36024881580199436,0.5296807637205607
signal_early_happy_off_face_share,305,0.4502923780542821,0.6209677232923144
signal_early_happy_n_fixations,305,0.5366326082748659,0.6984527145721946
signal_early_happy_mean_fixation_ms,305,0.6654613765929305,0.7991315631158963
signal_early_happy_scanpath,305,0.6401752684189197,0.7806181214231205
signal_early_happy_bcea,305,0.42284659139412173,0.5943670863066295
signal_early_happy_pupil_delta,305,0.5560079588909108,0.7146595307741502
signal_early_happy_eyes_share_sd,305,0.22138288469837958,0.36251185025087374
signal_early_happy_pupil_delta_sd,305,0.29663714486684123,0.4575484298613156
signal_early_neutral_eyes_share,305,0.5423392431640017,0.7032684223886185
signal_early_neutral_mouth_share,305,0.40617258022564723,0.5776994743567949
signal_early_neutral_face_other_share,305,0.5486151424431718,0.7085235413333869
signal_early_neutral_off_face_share,305,0.37005683790277655,0.5402065486118715
signal_early_neutral_n_fixations,305,0.511935394266019,0.6771921554419884
signal_early_neutral_mean_fixation_ms,305,0.6763935327757918,0.8069627083991567
signal_early_neutral_scanpath,305,0.5429047353747543,0.7037436893249133
signal_early_neutral_bcea,305,0.4456055158649966,0.6164967011741966
signal_early_neutral_pupil_delta,305,0.5825364302534962,0.7362060286475473
signal_early_neutral_eyes_share_sd,305,0.38900728893498393,0.5601227467038763
signal_early_neutral_pupil_delta_sd,305,0.33759326573109083,0.5047771611597818
signal_early_sad_eyes_share,305,0.5760147957880501,0.7309763808404186
signal_early_sad_mouth_share,305,0.3211154288752021,0.4861277400243518
signal_early_sad_face_other_share,305,0.4204051564352533,0.5919510423213769
signal_early_sad_off_face_share,305,0.2978946740189239,0.45904291000208
signal_early_sad_n_fixations,305,0.5528227812016917,0.7120230175575807
signal_early_sad_mean_fixation_ms,305,0.7108298762653363,0.8309766928048341
signal_early_sad_scanpath,305,0.6388050735320212,0.7795986037012221
signal_early_sad_bcea,305,0.36560657439351857,0.5354493471970704
signal_early_sad_pupil_delta,305,0.5038668777582722,0.6700950532394963
signal_early_sad_eyes_share_sd,305,0.2003788757418097,0.3338593835516801
signal_early_sad_pupil_delta_sd,305,0.31837492441980114,0.48298085547995934
signal_contrast_early_sad_minus_neutral_eyes_share,305,-0.11789755152063924,-0.26731033730578696
signal_contrast_early_sad_minus_neutral_mouth_share,305,-0.10507062262824406,-0.23481321607033903
signal_contrast_early_sad_minus_neutral_off_face_share,305,-0.1953831064384283,-0.48565499432551246
signal_contrast_early_sad_minus_neutral_n_fixations,305,-0.02442679941227091,-0.050076815143251394
signal_contrast_early_sad_minus_neutral_mean_fixation_ms,305,-0.01956117203491348,-0.03990289139305701
signal_contrast_early_sad_minus_neutral_scanpath,305,-0.02281079916686351,-0.0466865559861189
signal_contrast_early_sad_minus_neutral_pupil_delta,305,0.006936200002386915,0.013776841079644317
signal_contrast_early_happy_minus_neutral_eyes_share,305,-0.08839988546760627,-0.19394443694854313
signal_contrast_early_happy_minus_neutral_mouth_share,305,0.03486060509084505,0.06737256190708857
signal_contrast_early_happy_minus_neutral_off_face_share,305,0.040181924618855565,0.07725941716124142
signal_contrast_early_happy_minus_neutral_n_fixations,305,-0.0671813526866004,-0.14403947193827793
signal_contrast_early_happy_minus_neutral_mean_fixation_ms,305,-0.027128037851753706,-0.05576897866776005
signal_contrast_early_happy_minus_neutral_scanpath,305,-0.08595758941961927,-0.18808227807512698
signal_contrast_early_happy_minus_neutral_pupil_delta,305,-0.0007295195833096128,-0.0014601043413299012
signal_contrast_early_sad_minus_happy_eyes_share,305,-0.0978270296038725,-0.21686978620279093
signal_contrast_early_sad_minus_happy_mouth_share,305,-0.025842302598051505,-0.05305568629590919
signal_contrast_early_sad_minus_happy_off_face_share,305,-0.08126141105193935,-0.17689778578906154
signal_contrast_early_sad_minus_happy_n_fixations,305,-0.10552739396260616,-0.23595444567073648
signal_contrast_early_sad_minus_happy_mean_fixation_ms,305,-0.060435857245710795,-0.12864658088918943
signal_contrast_early_sad_minus_happy_scanpath,305,0.013566686553979565,0.02677019032680499
signal_contrast_early_sad_minus_happy_pupil_delta,305,-0.06927379844784283,-0.14885967179674545
signal_late_happy_eyes_share,305,0.6591006703633618,0.7945276403498908
signal_late_happy_mouth_share,305,0.47287036553744183,0.6421072439255633
signal_late_happy_face_other_share,305,0.5152898404681414,0.6801204980150136
signal_late_happy_off_face_share,305,0.6946159384157236,0.8197915795187337
signal_late_happy_n_fixations,305,0.7155194155983085,0.8341723318226186
signal_late_happy_mean_fixation_ms,305,0.8067128198628907,0.8930172089265533
signal_late_happy_scanpath,305,0.6960345539151908,0.8207787421647019
signal_late_happy_bcea,305,0.6933815481033835,0.8189312667071195
signal_late_happy_pupil_delta,305,0.5166414399692647,0.6812967473442301
signal_late_happy_eyes_share_sd,305,0.36222626640824757,0.5318151254906011
signal_late_happy_pupil_delta_sd,305,0.4465257437415256,0.6173768364281716
signal_late_neutral_eyes_share,305,0.6488513682671686,0.7870343934627262
signal_late_neutral_mouth_share,305,0.45140415684566265,0.6220240650635858
signal_late_neutral_face_other_share,305,0.6031466554432301,0.7524534993668125
signal_late_neutral_off_face_share,305,0.7003327413732112,0.8237596375490756
signal_late_neutral_n_fixations,305,0.7196358089838961,0.8369630420863553
signal_late_neutral_mean_fixation_ms,305,0.6981936061858353,0.8222779824898613
signal_late_neutral_scanpath,305,0.7443722982919748,0.8534557663187345
signal_late_neutral_bcea,305,0.6943963528820026,0.8196386302424487
signal_late_neutral_pupil_delta,305,0.5011118918910882,0.6676542829326222
signal_late_neutral_eyes_share_sd,305,0.27762008920956327,0.434589423811144
signal_late_neutral_pupil_delta_sd,305,0.39881311549399756,0.5702164371731027
signal_late_sad_eyes_share,305,0.6148156703082965,0.7614685460550645
signal_late_sad_mouth_share,305,0.45325558043534314,0.6237795836291427
signal_late_sad_face_other_share,305,0.5223719616764759,0.6862606180702727
signal_late_sad_off_face_share,305,0.5211063403267517,0.6851675343287464
signal_late_sad_n_fixations,305,0.7133192050084018,0.8326751990209599
signal_late_sad_mean_fixation_ms,305,0.6658191557510734,0.7993894816882129
signal_late_sad_scanpath,305,0.6635708496573345,0.7977668637245213
signal_late_sad_bcea,305,0.4966115404870639,0.6636478833050351
signal_late_sad_pupil_delta,305,0.5357656126904736,0.6977179437581986
signal_late_sad_eyes_share_sd,305,0.19807262298170109,0.33065211437475
signal_late_sad_pupil_delta_sd,305,0.3674410704280929,0.5374141209800892
signal_contrast_late_sad_minus_neutral_eyes_share,305,-0.0058268665286460965,-0.011722035795315508
signal_contrast_late_sad_minus_neutral_mouth_share,305,0.004567074629228279,0.009092622572592123
