cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,pca_used,pca_n_components,pca_explained_variance_ratio_sum,visual_branch_feature_count,nonvisual_branch_feature_count
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,0,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,1,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,2,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,3,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,4,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,0,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,1,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,2,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,3,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,4,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,hist_gradient_boosting,20260908,11,0,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,hist_gradient_boosting,20260908,11,1,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,hist_gradient_boosting,20260908,11,2,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,hist_gradient_boosting,20260908,11,3,0,0,,0,0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,hist_gradient_boosting,20260908,11,4,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,logistic_regression,20260908,31,0,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,logistic_regression,20260908,31,1,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,logistic_regression,20260908,31,2,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,logistic_regression,20260908,31,3,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,logistic_regression,20260908,31,4,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,random_forest,20260908,31,0,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,random_forest,20260908,31,1,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,random_forest,20260908,31,2,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,random_forest,20260908,31,3,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,random_forest,20260908,31,4,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,hist_gradient_boosting,20260908,31,0,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,hist_gradient_boosting,20260908,31,1,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,hist_gradient_boosting,20260908,31,2,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,hist_gradient_boosting,20260908,31,3,0,0,,0,0
standard_cv,behaviour_yiruid_doors_native,behaviour,yiruid,doors,signal_demographics,hist_gradient_boosting,20260908,31,4,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,logistic_regression,20260908,1,0,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,logistic_regression,20260908,1,1,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,logistic_regression,20260908,1,2,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,logistic_regression,20260908,1,3,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,logistic_regression,20260908,1,4,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,random_forest,20260908,1,0,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,random_forest,20260908,1,1,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,random_forest,20260908,1,2,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,random_forest,20260908,1,3,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,random_forest,20260908,1,4,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,hist_gradient_boosting,20260908,1,0,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,hist_gradient_boosting,20260908,1,1,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,hist_gradient_boosting,20260908,1,2,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,hist_gradient_boosting,20260908,1,3,0,0,,0,0
standard_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,sex_only,hist_gradient_boosting,20260908,1,4,0,0,,0,0
standard_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,age_sex,logistic_regression,20260908,2,0,0,0,,0,0
