cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,threshold_type,metric,ci_low,ci_high,n_bootstrap
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,inner_cv,ece,0.1701686760471029,0.22351369131237928,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,inner_cv,balanced_accuracy,0.534798137973466,0.598766946220693,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,inner_cv,macro_f1,0.5091212055834434,0.5712700284952206,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,inner_cv,sensitivity,0.5522875816993464,0.6566739482200646,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,inner_cv,specificity,0.490744094488189,0.5664185750636133,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,inner_cv,accuracy,0.5224607329842932,0.5842931937172775,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,logistic_regression,20260908,inner_cv,positive_prediction_rate,0.4816753926701571,0.5445026178010471,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,auroc,0.5120361932039903,0.5886761579021351,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,auprc,0.30962067811433375,0.40537738035387083,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,brier_score,0.24524254936138307,0.2571353368261823,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,ece,0.15746885717568462,0.21544809961675576,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,balanced_accuracy,0.5188382273631748,0.5843417722829931,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,macro_f1,0.50185231179993,0.5658651829633106,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,sensitivity,0.49201019469172946,0.600609077417759,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,specificity,0.5171345168442163,0.5940892018779342,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,accuracy,0.5235602094240838,0.5843193717277487,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,fixed_0_5,positive_prediction_rate,0.44502617801047123,0.5078534031413613,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,auroc,0.5120361932039903,0.5886761579021351,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,auprc,0.30962067811433375,0.40537738035387083,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,brier_score,0.24524254936138307,0.2571353368261823,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,ece,0.15746885717568462,0.21544809961675576,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,balanced_accuracy,0.527185104296666,0.5960628636941864,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,macro_f1,0.5108905055398584,0.576287356321839,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,sensitivity,0.488135593220339,0.6037321811315619,1000
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_grade,random_forest,20260908,inner_cv,specificity,0.5359281437125748,0.6103291744377988,1000
