cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,513,0.0050950421320792305,-0.06256351858210196,0.07564173849468409,-0.0036766356553691315,-0.058677504277501506,0.052495838685073244,2,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,20260908,signal_qc,qc,signal_qc_vs_qc,513,0.014239989548631371,-0.04845334090836662,0.07656252653973897,0.027683499374766163,-0.020274713421755783,0.09371837874484412,4,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,513,0.0050950421320792305,-0.0601229550206602,0.07144603527443188,-0.0036766356553691315,-0.05140038069963361,0.049915624467413454,2,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,513,0.0050950421320792305,-0.06261851846427191,0.07732773734599081,-0.0036766356553691315,-0.056073835361309055,0.055316612786206816,2,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,20260908,signal_demographics,signal,signal_demographics_vs_signal,513,-0.019220719838003664,-0.04817537038885743,0.007234677119626145,-0.030141504086705295,-0.06711405718372454,0.0023451085307465615,1,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,hist_gradient_boosting,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,513,-0.019220719838003664,-0.04814782454637625,0.009951412041246463,-0.030141504086705295,-0.06455721846004445,0.0009865776388131985,1,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,20260908,signal,demographics,signal_vs_demographics,513,0.016534391534391513,-0.05752898528028217,0.09003015038661803,0.009084591235504869,-0.051849165758863384,0.07459978430536819,2,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,513,0.0208292507675224,-0.02778836543375813,0.07173398810314226,0.017502651068516617,-0.03346041431078145,0.07649729816235055,2,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,20260908,signal_qc,qc,signal_qc_vs_qc,513,0.05671500424586834,-0.006418067226890787,0.1175617103338946,0.04137049865474668,-0.0002622233878621508,0.10005643676601773,5,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,513,0.02076392971454688,-0.03968843482488143,0.07696566421590328,0.01745951643393323,-0.035239829884187515,0.07445976124231755,2,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,513,0.02076392971454688,-0.03743474589818649,0.07214563497633848,0.01745951643393323,-0.03483129198288886,0.070036554141195,2,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,20260908,signal_demographics,signal,signal_demographics_vs_signal,513,0.004294859233130888,-0.024653947403621163,0.034220515191226666,0.008418059833011748,-0.023892451402783618,0.03531322642858217,4,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,logistic_regression,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,513,0.004229538180155479,-0.02779457839920051,0.035202516830565495,0.00837160534368675,-0.02354845345767521,0.03642079387675786,4,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,20260908,signal,demographics,signal_vs_demographics,513,-0.005021555947481771,-0.08023018716926554,0.06717184775271055,0.0019599169119046134,-0.06282946665706705,0.06620588312970781,2,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,513,0.03157456398197145,-0.04140111684246329,0.1040776346693806,0.027466318340365115,-0.035012880431602306,0.0958929453962562,3,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,20260908,signal_qc,qc,signal_qc_vs_qc,513,0.07578875171467758,0.003254753930627208,0.14916574765445098,0.07561562914422604,0.020203618522292705,0.14523221517387702,5,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,513,0.012500816513162039,-0.057294553619690186,0.08353775475630823,0.01985598322333576,-0.0448367196694812,0.08390122907759726,3,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,513,0.012288523090992154,-0.06034591294543177,0.0778132242023429,0.021517176499395996,-0.03949270425797326,0.08581877526684933,3,5,1000,1
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,20260908,signal_demographics,signal,signal_demographics_vs_signal,513,0.03659611992945322,0.012555085392074448,0.05985102682776814,0.0255064014284605,-0.001250628053840666,0.05418116230268665,3,5,1000,0
group_cv,behaviour_bikom_combined_native,behaviour,bikom,combined,random_forest,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,513,-0.02359723038735395,-0.04689271411315644,-0.0015818317568266928,-0.028637319341278333,-0.060301498625855314,0.0016767432369317508,0,5,1000,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,20260908,signal,demographics,signal_vs_demographics,515,-0.01228616872788646,-0.09381698403623158,0.06653268037489064,0.007855111430065176,-0.060829607591261936,0.07365032490787755,2,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,515,-0.024507417145453902,-0.09130063631274839,0.04148547719217374,-0.008095047251255982,-0.06462657795542605,0.05058954369055393,1,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,20260908,signal_qc,qc,signal_qc_vs_qc,515,0.004073749472522481,-0.05523546073711995,0.062244397642143304,0.024695572122796217,-0.01916078953496331,0.07938647211925615,2,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,515,-0.024507417145453902,-0.09142687812716122,0.04242995975012426,-0.008095047251255982,-0.06579195863356548,0.05166960833122842,1,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,515,-0.024507417145453902,-0.0929988761874235,0.04180304631927172,-0.008095047251255982,-0.06504642936267202,0.049861152051801916,1,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,20260908,signal_demographics,signal,signal_demographics_vs_signal,515,-0.012221248417567443,-0.04671653663482181,0.020305183265350576,-0.015950158681321158,-0.0464707042502,0.012383935599805784,3,5,1000,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,hist_gradient_boosting,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,515,-0.012221248417567443,-0.049108574529046746,0.020578844041837477,-0.015950158681321158,-0.04586597274307208,0.014998165295991139,3,5,1000,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,20260908,signal,demographics,signal_vs_demographics,515,-0.025018664589216644,-0.09191416981238587,0.0450901364476105,-0.009533778974672391,-0.07231533390131066,0.060144346213378816,2,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,20260908,signal_demographics,demographics,signal_demographics_vs_demographics,515,-0.014225662998669009,-0.057794555035128856,0.028743195939176555,0.008805504509184214,-0.03622922264558773,0.05880895038645869,1,5,1000,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,20260908,signal_qc,qc,signal_qc_vs_qc,515,0.05698380238257539,-0.016935657146614623,0.1285669626889076,0.050441866686583625,0.0029941007355140897,0.1154754624923258,3,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,20260908,signal_qc_demographics,qc_demographics,signal_qc_demographics_vs_qc_demographics,515,-0.014209432921089338,-0.053602723324559655,0.024780294902549144,0.008814661017849057,-0.0356536799559115,0.06125193600424879,1,5,1000,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,20260908,signal_qc_demographics,demographics,signal_qc_demographics_vs_demographics,515,-0.014209432921089338,-0.0543347842713311,0.031089310636411377,0.008814661017849057,-0.03191265066991122,0.06260546612203749,1,5,1000,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,20260908,signal_demographics,signal,signal_demographics_vs_signal,515,0.010793001590547635,-0.03720675064536767,0.0566011466011466,0.018339283483856605,-0.021340206633471755,0.054161044587518595,3,5,1000,1
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,20260908,signal_qc_demographics,signal_qc,signal_qc_demographics_vs_signal_qc,515,0.01084169182328687,-0.03559898217692676,0.052891947288116886,0.018387240926378112,-0.021074129010427232,0.058119111088900936,3,5,1000,1
