rep,model,demographics,signal,diff
0,random_forest,0.4563888888888889,0.5543229166666667,0.09793402777777777
0,hist_gradient_boosting,0.44923611111111106,0.5458854166666667,0.09664930555555562
1,random_forest,0.5593402777777777,0.5303645833333334,-0.028975694444444366
1,hist_gradient_boosting,0.5556249999999999,0.5369270833333333,-0.018697916666666647
2,random_forest,0.5649131944444444,0.5016493055555555,-0.0632638888888889
2,hist_gradient_boosting,0.5625,0.5263194444444443,-0.03618055555555566
3,random_forest,0.45756944444444436,0.5171006944444444,0.059531250000000036
3,hist_gradient_boosting,0.47092013888888884,0.5240798611111112,0.053159722222222316
4,random_forest,0.5151041666666667,0.5418229166666666,0.026718749999999902
4,hist_gradient_boosting,0.4541666666666667,0.5477951388888889,0.09362847222222215
5,random_forest,0.5524305555555555,0.47543402777777777,-0.07699652777777777
5,hist_gradient_boosting,0.5391145833333334,0.48022569444444435,-0.058888888888889046
6,random_forest,0.49078125000000006,0.5076041666666666,0.016822916666666576
6,hist_gradient_boosting,0.47411458333333334,0.4627430555555555,-0.011371527777777835
7,random_forest,0.47675347222222214,0.49274305555555553,0.01598958333333339
7,hist_gradient_boosting,0.43109375000000005,0.47873263888888895,0.0476388888888889
8,random_forest,0.46005208333333336,0.49859374999999995,0.038541666666666585
8,hist_gradient_boosting,0.4639930555555556,0.4803472222222222,0.016354166666666614
9,random_forest,0.5349652777777777,0.46484375,-0.07012152777777769
9,hist_gradient_boosting,0.5608506944444444,0.4565277777777778,-0.10432291666666654
10,random_forest,0.5214930555555555,0.529236111111111,0.007743055555555545
10,hist_gradient_boosting,0.533420138888889,0.5409722222222222,0.007552083333333237
11,random_forest,0.5288194444444444,0.4705729166666666,-0.05824652777777778
11,hist_gradient_boosting,0.45031249999999995,0.4403298611111111,-0.00998263888888884
12,random_forest,0.4648263888888889,0.4747395833333333,0.00991319444444444
12,hist_gradient_boosting,0.48340277777777774,0.4401562499999999,-0.04324652777777782
13,random_forest,0.4699652777777779,0.47770833333333335,0.007743055555555434
13,hist_gradient_boosting,0.48918402777777775,0.4567361111111111,-0.03244791666666663
14,random_forest,0.48644097222222216,0.43881944444444443,-0.04762152777777773
14,hist_gradient_boosting,0.4934548611111111,0.4680381944444445,-0.025416666666666587
15,random_forest,0.4366840277777778,0.5531597222222222,0.11647569444444439
15,hist_gradient_boosting,0.47729166666666667,0.5465798611111111,0.06928819444444445
16,random_forest,0.4482118055555555,0.4960590277777778,0.04784722222222226
16,hist_gradient_boosting,0.4802951388888889,0.5116319444444445,0.03133680555555557
17,random_forest,0.46479166666666666,0.5597395833333334,0.09494791666666674
17,hist_gradient_boosting,0.48446180555555557,0.5590277777777777,0.07456597222222211
18,random_forest,0.4879340277777777,0.48079861111111105,-0.007135416666666672
18,hist_gradient_boosting,0.44109375,0.4990972222222222,0.058003472222222185
19,random_forest,0.4331076388888889,0.4896701388888889,0.05656249999999996
19,hist_gradient_boosting,0.4111111111111111,0.46519097222222217,0.05407986111111107
20,random_forest,0.5176215277777778,0.49550347222222224,-0.02211805555555557
20,hist_gradient_boosting,0.49053819444444446,0.4638715277777778,-0.026666666666666672
21,random_forest,0.47871527777777784,0.5432118055555555,0.06449652777777765
21,hist_gradient_boosting,0.4555034722222222,0.47913194444444446,0.023628472222222252
22,random_forest,0.543732638888889,0.40078125,-0.14295138888888903
22,hist_gradient_boosting,0.5321701388888889,0.3944270833333334,-0.1377430555555555
23,random_forest,0.48689236111111117,0.44494791666666667,-0.041944444444444506
23,hist_gradient_boosting,0.4805729166666666,0.4658333333333333,-0.014739583333333306
24,random_forest,0.53609375,0.41348958333333335,-0.12260416666666668
24,hist_gradient_boosting,0.5451041666666667,0.42578125,-0.11932291666666672
25,random_forest,0.4597569444444444,0.5637152777777777,0.10395833333333332
25,hist_gradient_boosting,0.4627083333333333,0.5146354166666667,0.0519270833333334
26,random_forest,0.5113715277777777,0.47399305555555554,-0.03737847222222218
26,hist_gradient_boosting,0.5225694444444445,0.4582986111111111,-0.06427083333333344
27,random_forest,0.45026041666666666,0.5040625000000001,0.05380208333333342
27,hist_gradient_boosting,0.44147569444444446,0.50203125,0.060555555555555585
28,random_forest,0.38833333333333336,0.5077951388888888,0.11946180555555547
28,hist_gradient_boosting,0.3773958333333333,0.51546875,0.1380729166666667
29,random_forest,0.4209375,0.4902256944444444,0.0692881944444444
29,hist_gradient_boosting,0.41194444444444445,0.4857986111111111,0.07385416666666667
30,random_forest,0.5078645833333334,0.4590798611111111,-0.0487847222222223
30,hist_gradient_boosting,0.5209027777777777,0.45375000000000004,-0.06715277777777767
31,random_forest,0.5073958333333334,0.5555034722222222,0.048107638888888804
31,hist_gradient_boosting,0.5135243055555556,0.5755208333333334,0.061996527777777755
