cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,outer_fold,n_subjects,selected_threshold_per_fold,predicted_positive_rate,threshold_source
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,0,399,0.45,0.7293233082706767,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,1,237,0.45,0.6329113924050633,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,2,115,0.5,0.7565217391304347,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,3,60,0.5,0.7333333333333333,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,logistic_regression,20260908,4,144,0.55,0.2847222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,0,399,0.3,0.8320802005012531,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,1,237,0.6,0.2911392405063291,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,2,115,0.55,0.41739130434782606,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,3,60,0.5,0.6666666666666666,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex,random_forest,20260908,4,144,0.6,0.25,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,hist_gradient_boosting,20260908,0,399,0.65,0.06265664160401002,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,hist_gradient_boosting,20260908,1,237,0.5,0.42616033755274263,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,hist_gradient_boosting,20260908,2,115,0.55,0.5826086956521739,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,hist_gradient_boosting,20260908,3,60,0.5,0.7,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,hist_gradient_boosting,20260908,4,144,0.55,0.3472222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,logistic_regression,20260908,0,399,0.55,0.2957393483709273,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,logistic_regression,20260908,1,237,0.45,0.569620253164557,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,logistic_regression,20260908,2,115,0.55,0.6,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,logistic_regression,20260908,3,60,0.5,0.65,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,logistic_regression,20260908,4,144,0.55,0.3472222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,random_forest,20260908,0,399,0.65,0.06265664160401002,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,random_forest,20260908,1,237,0.5,0.42616033755274263,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,random_forest,20260908,2,115,0.45,0.7913043478260869,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,random_forest,20260908,3,60,0.45,0.75,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade,random_forest,20260908,4,144,0.55,0.2222222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,hist_gradient_boosting,20260908,0,399,0.7,0.06265664160401002,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,hist_gradient_boosting,20260908,1,237,0.5,0.42616033755274263,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,hist_gradient_boosting,20260908,2,115,0.55,0.5826086956521739,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,hist_gradient_boosting,20260908,3,60,0.5,0.7,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,hist_gradient_boosting,20260908,4,144,0.55,0.3472222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,logistic_regression,20260908,0,399,0.55,0.2531328320802005,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,logistic_regression,20260908,1,237,0.55,0.28270042194092826,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,logistic_regression,20260908,2,115,0.5,0.7217391304347827,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,logistic_regression,20260908,3,60,0.5,0.7333333333333333,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,logistic_regression,20260908,4,144,0.55,0.2361111111111111,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,random_forest,20260908,0,399,0.65,0.06265664160401002,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,random_forest,20260908,1,237,0.5,0.42616033755274263,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,random_forest,20260908,2,115,0.45,0.7652173913043478,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,random_forest,20260908,3,60,0.45,0.75,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,age_sex_grade_group,random_forest,20260908,4,144,0.55,0.2222222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,hist_gradient_boosting,20260908,0,399,0.65,0.06265664160401002,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,hist_gradient_boosting,20260908,1,237,0.5,0.42616033755274263,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,hist_gradient_boosting,20260908,2,115,0.55,0.5826086956521739,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,hist_gradient_boosting,20260908,3,60,0.5,0.7,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,hist_gradient_boosting,20260908,4,144,0.55,0.3472222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,logistic_regression,20260908,0,399,0.55,0.2957393483709273,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,logistic_regression,20260908,1,237,0.45,0.569620253164557,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,logistic_regression,20260908,2,115,0.55,0.6,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,logistic_regression,20260908,3,60,0.5,0.65,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,logistic_regression,20260908,4,144,0.55,0.3472222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,random_forest,20260908,0,399,0.65,0.06265664160401002,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,random_forest,20260908,1,237,0.5,0.42616033755274263,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,random_forest,20260908,2,115,0.45,0.7913043478260869,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,random_forest,20260908,3,60,0.45,0.75,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics,random_forest,20260908,4,144,0.55,0.2222222222222222,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,hist_gradient_boosting,20260908,0,399,0.6,0.14536340852130325,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,hist_gradient_boosting,20260908,1,237,0.45,0.7257383966244726,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,hist_gradient_boosting,20260908,2,115,0.5,0.8956521739130435,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,hist_gradient_boosting,20260908,3,60,0.45,0.9,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,hist_gradient_boosting,20260908,4,144,0.5,0.5902777777777778,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,logistic_regression,20260908,0,399,0.55,0.3182957393483709,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,logistic_regression,20260908,1,237,0.5,0.7130801687763713,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,logistic_regression,20260908,2,115,0.5,0.8434782608695652,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,logistic_regression,20260908,3,60,0.45,0.9166666666666666,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,logistic_regression,20260908,4,144,0.5,0.875,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,random_forest,20260908,0,399,0.6,0.14536340852130325,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,random_forest,20260908,1,237,0.5,0.6329113924050633,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,random_forest,20260908,2,115,0.4,0.8695652173913043,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,random_forest,20260908,3,60,0.45,0.7833333333333333,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group,random_forest,20260908,4,144,0.45,0.7361111111111112,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,hist_gradient_boosting,20260908,0,399,0.6,0.14536340852130325,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,hist_gradient_boosting,20260908,1,237,0.45,0.7257383966244726,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,hist_gradient_boosting,20260908,2,115,0.5,0.8956521739130435,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,hist_gradient_boosting,20260908,3,60,0.45,0.9,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,hist_gradient_boosting,20260908,4,144,0.5,0.5902777777777778,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,logistic_regression,20260908,0,399,0.55,0.3182957393483709,inner_cv_outer_train_only
group_cv,behaviour_bikom_1back_native,behaviour,bikom,1back,demographics_group_device,logistic_regression,20260908,1,237,0.5,0.7130801687763713,inner_cv_outer_train_only
