cv_protocol,cohort_name,modality,device,task,model,comparison,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,significant_positive,significant_negative,feature_set_b,comparator_auroc,comparator_above_chance,significant_positive_credited
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,signal_demographics_vs_demographics,-0.014225662998669,-0.0577945550351288,0.0287431959391765,0,0,demographics,0.5388142305320218,1,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,signal_qc_demographics_vs_qc_demographics,-0.0142094329210893,-0.0536027233245596,0.0247802949025491,0,0,qc_demographics,0.5388142305320218,1,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,logistic_regression,signal_qc_demographics_vs_demographics,-0.0142094329210893,-0.0543347842713311,0.0310893106364113,0,0,demographics,0.5388142305320218,1,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_vs_demographics,-0.0218943746551109,-0.096195257565904,0.0506095853576839,0,0,demographics,0.5175771740188918,1,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_demographics_vs_demographics,-0.0219592949654299,-0.0949224865135679,0.0349832939325615,0,0,demographics,0.5175771740188918,1,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_qc_demographics_vs_qc_demographics,-0.0440159703963384,-0.1083619144717343,0.0202477006370811,0,0,qc_demographics,0.5227221086116791,1,0
group_cv,behaviour_bikom_doors_native,behaviour,bikom,doors,random_forest,signal_qc_demographics_vs_demographics,-0.0388710358035511,-0.1005977142570567,0.0226110914761073,0,0,demographics,0.5175771740188918,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_vs_demographics,-0.0335845764083804,-0.072804242995382,0.0080671158073532,0,0,demographics,0.5796903087451513,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_demographics_vs_demographics,0.0057333879970985,-0.0244222345563297,0.0375678457317403,0,0,demographics,0.5796903087451513,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_qc_demographics_vs_qc_demographics,0.0088429152606513,-0.0203560200622261,0.0397081597630348,0,0,qc_demographics,0.5765807814815984,1,0
group_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,hist_gradient_boosting,signal_qc_demographics_vs_demographics,0.0057333879970985,-0.024253553775065,0.0359853278095654,0,0,demographics,0.5796903087451513,1,0
