cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,threshold_type,outer_fold,threshold,n_subjects,n_positive,n_negative,auroc,auprc,balanced_accuracy,macro_f1,sensitivity,specificity,accuracy,brier_score,ece,positive_prediction_rate
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,fixed_0_5,0,0.5,279,112,167,0.5,0.4014336917562724,0.5,0.3744394618834081,0.0,1.0,0.5985663082437276,0.24039360006332106,0.010436339593871746,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,inner_cv,0,0.5,279,112,167,0.5,0.4014336917562724,0.5,0.3744394618834081,0.0,1.0,0.5985663082437276,0.24039360006332106,0.010436339593871746,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,fixed_0_5,1,0.5,290,113,177,0.5,0.3896551724137931,0.5,0.37901498929336186,0.0,1.0,0.6103448275862069,0.23784237357905075,0.004284221525600873,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,inner_cv,1,0.5,290,113,177,0.5,0.3896551724137931,0.5,0.37901498929336186,0.0,1.0,0.6103448275862069,0.23784237357905075,0.004284221525600873,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,fixed_0_5,2,0.5,285,115,170,0.5,0.40350877192982454,0.5,0.37362637362637363,0.0,1.0,0.5964912280701754,0.240860836445222,0.013091735550055272,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,inner_cv,2,0.5,285,115,170,0.5,0.40350877192982454,0.5,0.37362637362637363,0.0,1.0,0.5964912280701754,0.240860836445222,0.013091735550055272,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,fixed_0_5,3,0.5,278,107,171,0.5,0.38489208633093525,0.5,0.38084632516703787,0.0,1.0,0.6151079136690647,0.23685358983046753,0.010169642064126516,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,inner_cv,3,0.5,278,107,171,0.5,0.38489208633093525,0.5,0.38084632516703787,0.0,1.0,0.6151079136690647,0.23685358983046753,0.010169642064126516,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,fixed_0_5,4,0.5,280,108,172,0.5,0.38571428571428573,0.5,0.3805309734513274,0.0,1.0,0.6142857142857143,0.23702271847569584,0.009162039374053521,0.0
standard_cv,behaviour_yiruid_1back_native,behaviour,yiruid,1back,no_information,no_information_prior,20260908,0,inner_cv,4,0.5,280,108,172,0.5,0.38571428571428573,0.5,0.3805309734513274,0.0,1.0,0.6142857142857143,0.23702271847569584,0.009162039374053521,0.0
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,fixed_0_5,0,0.5,99,47,52,0.5216857610474632,0.4629858287279751,0.5118657937806874,0.5111111111111111,0.44680851063829785,0.5769230769230769,0.5151515151515151,0.2537870020575621,0.08972014874179365,0.43434343434343436
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,inner_cv,0,0.5,99,47,52,0.5216857610474632,0.4629858287279751,0.5118657937806874,0.5111111111111111,0.44680851063829785,0.5769230769230769,0.5151515151515151,0.2537870020575621,0.08972014874179365,0.43434343434343436
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,fixed_0_5,1,0.5,103,33,70,0.5538961038961038,0.37749387471513196,0.5593073593073593,0.5376658860265418,0.5757575757575758,0.5428571428571428,0.5533980582524272,0.2567180028483016,0.2053213194827494,0.49514563106796117
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,inner_cv,1,0.45,103,33,70,0.5538961038961038,0.37749387471513196,0.5296536796536796,0.434280303030303,0.7878787878787878,0.2714285714285714,0.4368932038834951,0.2567180028483016,0.2053213194827494,0.7475728155339806
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,fixed_0_5,2,0.5,110,48,62,0.5858534946236559,0.5075714884341479,0.5739247311827957,0.5709899593394738,0.5833333333333334,0.5645161290322581,0.5727272727272728,0.23778657576874326,0.050471942041907074,0.5
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,inner_cv,2,0.45,110,48,62,0.5858534946236559,0.5075714884341479,0.5997983870967742,0.5646315789473684,0.8125,0.3870967741935484,0.5727272727272728,0.23778657576874326,0.050471942041907074,0.7
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,fixed_0_5,3,0.5,108,48,60,0.6590277777777779,0.6175947994946893,0.6020833333333333,0.6023842917251052,0.5208333333333334,0.6833333333333333,0.6111111111111112,0.23482723715967,0.09814391495130124,0.4074074074074074
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,inner_cv,3,0.45,108,48,60,0.6590277777777779,0.6175947994946893,0.5958333333333333,0.5441400987876066,0.875,0.31666666666666665,0.5648148148148148,0.23482723715967,0.09814391495130124,0.7685185185185185
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,fixed_0_5,4,0.5,104,45,59,0.5544256120527307,0.5124769734408309,0.5288135593220339,0.5192307692307693,0.6,0.4576271186440678,0.5192307692307693,0.24868795470062366,0.08857333744761005,0.5673076923076923
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,logistic_regression,20260908,11,inner_cv,4,0.45,104,45,59,0.5544256120527307,0.5124769734408309,0.5043314500941619,0.4256410256410256,0.8222222222222222,0.1864406779661017,0.46153846153846156,0.24868795470062366,0.08857333744761005,0.8173076923076923
standard_cv,behaviour_yiruid_oddball_native,behaviour,yiruid,oddball,qc_demographics,random_forest,20260908,11,fixed_0_5,0,0.5,99,47,52,0.5495090016366613,0.48853847971945125,0.5351882160392798,0.5349264705882353,0.5319148936170213,0.5384615384615384,0.5353535353535354,0.24777585123973273,0.03767453432612183,0.494949494949495
