task,model,fold,n_subjects,threshold,auroc,auprc,balanced_accuracy,sensitivity,specificity,f1,brier,tn,fp,fn,tp
oddball,inceptiontime,1,457,0.8536463013291359,0.5632954936360509,0.3874241756648157,0.49835526315789475,0.0,0.9967105263157895,0.0,0.23772156479787784,303,1,153,0
oddball,inceptiontime,2,457,0.6369457437346379,0.48712160302717583,0.32643409313378036,0.4983337633298934,0.006535947712418301,0.9901315789473685,0.012738853503184714,0.2466093032579086,301,3,152,1
oddball,inceptiontime,3,457,0.8902773936589559,0.5061704506363949,0.3404201751703332,0.5016232370141039,0.006535947712418301,0.9967105263157895,0.012903225806451613,0.2697557279247092,303,1,152,1
oddball,inceptiontime,4,457,0.8845209442079067,0.4853156174750602,0.32829299258006495,0.49668902648778807,0.006535947712418301,0.9868421052631579,0.012658227848101266,0.29795868027022543,300,4,152,1
oddball,inceptiontime,5,457,0.7090535413473844,0.5408683725515409,0.37775058061820466,0.49967853928249967,0.03896103896103896,0.9603960396039604,0.06976744186046512,0.24626175459144686,291,12,148,6
oddball,inceptiontime,overall_oof,2285,0.8536463013291359,0.5148269869726717,0.34582236203812605,0.49996089566964663,0.009138381201044387,0.9907834101382489,0.017789072426937738,0.2596614061684336,1505,14,759,7
