cv_protocol,cohort_name,modality,device,task,model,seed,feature_set_a,feature_set_b,comparison,n_subjects,auroc_diff,auroc_diff_ci_low,auroc_diff_ci_high,auprc_diff,auprc_diff_ci_low,auprc_diff_ci_high,fold_direction_consistency,folds_compared,n_bootstrap,protocol_consistent_direction,comparator_auroc,goal,interval_excludes_zero,comparator_above_chance,folds_at_least_4
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,hist_gradient_boosting,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,-0.0211264758207989,-0.0846178272834089,0.035076976844854,-0.0008770394143163,-0.0529603856534072,0.0529845353017888,0,5,1000,1,0.5285561216238073,goal2_7,False,True,False
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,logistic_regression,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,-0.048039988678635,-0.0980646620644096,0.0011911121080263,-0.052521656717739,-0.0994722622131986,-0.0060517229884386,1,5,1000,1,0.575251698204755,goal2_7,False,True,False
group_cv,core3_rest_yiruidvft_selfintro_intersection,eeg,,rest,random_forest,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,-0.0432991670710011,-0.1028539172316908,0.0156280272480953,-0.0181915484397183,-0.0575785925329288,0.0236839101225012,2,5,1000,1,0.5307850153647097,goal2_7,False,True,False
group_cv,core3_rest_yiruidvft_selfintro_intersection,face,,self_intro,hist_gradient_boosting,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,0.0575570111596311,0.0012303398444948,0.1127854486869501,0.0552523819084425,0.0015415120949648,0.1085110554376548,3,5,1000,1,0.5285561216238073,goal2_7,True,True,False
group_cv,core3_rest_yiruidvft_selfintro_intersection,face,,self_intro,logistic_regression,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,0.0461497250525634,-0.0043988895768465,0.0936291809378987,0.0484698439673553,-0.0038152323512855,0.0998851130172933,4,5,1000,1,0.575251698204755,goal2_7,False,True,True
group_cv,core3_rest_yiruidvft_selfintro_intersection,face,,self_intro,random_forest,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,0.0656386462882095,0.0128735276971193,0.1244668534941567,0.0856348982289192,0.0386904978517373,0.1455938342363014,4,5,1000,1,0.5307850153647097,goal2_7,True,True,True
group_cv,core3_rest_yiruidvft_selfintro_intersection,fnirs,yiruid,vft,hist_gradient_boosting,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,0.0273330098657609,-0.0283139531551939,0.0824586052102242,0.0512667257120594,-0.0018486816325402,0.1072247003963525,3,5,1000,1,0.5285561216238073,goal2_7,False,True,False
group_cv,core3_rest_yiruidvft_selfintro_intersection,fnirs,yiruid,vft,logistic_regression,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,-0.0554292010350963,-0.1064513410806099,-0.0034072162703582,-0.0272240335228955,-0.0772827941276121,0.0249268937201893,1,5,1000,1,0.575251698204755,goal2_7,False,True,False
group_cv,core3_rest_yiruidvft_selfintro_intersection,fnirs,yiruid,vft,random_forest,20260707,modality_demographics,demographics,modality_demographics_vs_demographics,661,0.0324326783114992,-0.0263439163539599,0.0865818046422969,0.0653788786726782,0.014898211401519,0.123171007013497,4,5,1000,1,0.5307850153647097,goal2_7,False,True,True
group_cv,eeg_1back_native,eeg,,1back,hist_gradient_boosting,20260707,signal_demographics,demographics,signal_demographics_vs_demographics,1154,-0.0511660285415941,-0.0979267675845478,-0.0060176211963015,-0.030183231799199,-0.0738839180936173,0.0117023877140784,1,5,1000,1,0.5527069555632903,goal2_7,False,True,False
