L_id,task,feature_status,feature_error,sfreq,n_epochs_total,n_epochs_good,bad_epoch_rate,n_channels_used,duration_sec_loaded
L1655,rest,ok,,250.0,64,62,0.03125,32,319.996
L1656,rest,ok,,250.0,64,51,0.203125,32,320.996
L1657,rest,ok,,250.0,66,64,0.030303030303030276,32,330.996
L1658,rest,ok,,250.0,83,77,0.07228915662650603,32,415.996
L1659,rest,ok,,250.0,98,95,0.030612244897959218,32,492.996
L1660,rest,ok,,250.0,61,54,0.11475409836065575,32,305.996
L1662,rest,ok,,250.0,69,59,0.14492753623188404,32,348.996
L1663,rest,ok,,250.0,62,55,0.11290322580645162,32,312.996
L1664,rest,ok,,250.0,71,67,0.05633802816901412,32,358.996
L1666,rest,ok,,250.0,60,46,0.23333333333333328,32,302.996
L1667,rest,ok,,250.0,66,62,0.06060606060606055,32,329.996
L1668,rest,ok,,250.0,65,59,0.09230769230769231,32,325.996
L1672,rest,ok,,250.0,75,66,0.12,32,377.996
L1673,rest,ok,,250.0,60,59,0.01666666666666672,32,300.996
L1675,rest,ok,,250.0,61,55,0.09836065573770492,32,305.996
L1676,rest,ok,,250.0,61,49,0.19672131147540983,32,306.996
L1677,rest,ok,,250.0,62,49,0.20967741935483875,32,311.996
L1678,rest,ok,,250.0,61,56,0.08196721311475408,32,304.996
